POSTNR,HEITI_NF,HEITI_TGF
112,Hesthamrar 5,Hesthömrum 5
112,Hesthamrar 6,Hesthömrum 6
112,Hesthamrar 7,Hesthömrum 7
112,Hesthamrar 8,Hesthömrum 8
112,Hesthamrar 9,Hesthömrum 9
112,Hlaðhamrar,Hlaðhömrum
112,Hlaðhamrar 1,Hlaðhömrum 1
112,Hlaðhamrar 10,Hlaðhömrum 10
112,Hlaðhamrar 11,Hlaðhömrum 11
112,Hlaðhamrar 12,Hlaðhömrum 12
112,Hlaðhamrar 13,Hlaðhömrum 13
112,Hlaðhamrar 14,Hlaðhömrum 14
112,Hlaðhamrar 15,Hlaðhömrum 15
112,Hlaðhamrar 16,Hlaðhömrum 16
112,Hlaðhamrar 17,Hlaðhömrum 17
112,Hlaðhamrar 18,Hlaðhömrum 18
112,Hlaðhamrar 2,Hlaðhömrum 2
112,Hlaðhamrar 20,Hlaðhömrum 20
112,Hlaðhamrar 22,Hlaðhömrum 22
112,Hlaðhamrar 24,Hlaðhömrum 24
112,Hlaðhamrar 26,Hlaðhömrum 26
112,Hlaðhamrar 26*,Hlaðhömrum 26*
112,Hlaðhamrar 28,Hlaðhömrum 28
112,Hlaðhamrar 2A,Hlaðhömrum 2A
112,Hlaðhamrar 3,Hlaðhömrum 3
112,Hlaðhamrar 30,Hlaðhömrum 30
112,Hlaðhamrar 32,Hlaðhömrum 32
112,Hlaðhamrar 34,Hlaðhömrum 34
112,Hlaðhamrar 34*,Hlaðhömrum 34*
112,Hlaðhamrar 36,Hlaðhömrum 36
112,Hlaðhamrar 38,Hlaðhömrum 38
112,Hlaðhamrar 4,Hlaðhömrum 4
112,Hlaðhamrar 40,Hlaðhömrum 40
112,Hlaðhamrar 42,Hlaðhömrum 42
112,Hlaðhamrar 44,Hlaðhömrum 44
112,Hlaðhamrar 46,Hlaðhömrum 46
112,Hlaðhamrar 48,Hlaðhömrum 48
112,Hlaðhamrar 5,Hlaðhömrum 5
112,Hlaðhamrar 50,Hlaðhömrum 50
112,Hlaðhamrar 6,Hlaðhömrum 6
112,Hlaðhamrar 7,Hlaðhömrum 7
112,Hlaðhamrar 8,Hlaðhömrum 8
112,Hlaðhamrar 9,Hlaðhömrum 9
112,Hlíðarhús 1,Hlíðarhúsum 1
112,Hlíðarhús 3,Hlíðarhúsum 3
112,Hlíðarhús 5,Hlíðarhúsum 5
112,Hlíðarhús 7,Hlíðarhúsum 7
112,Hlíðarhús 9,Hlíðarhúsum 9
112,Hrísrimi 1,Hrísrima 1
112,Hrísrimi 10,Hrísrima 10
112,Hrísrimi 11,Hrísrima 11
112,Hrísrimi 15,Hrísrima 15
112,Hrísrimi 17,Hrísrima 17
112,Hrísrimi 19,Hrísrima 19
112,Hrísrimi 2,Hrísrima 2
112,Hrísrimi 20,Hrísrima 20
112,Hrísrimi 21,Hrísrima 21
112,Hrísrimi 22,Hrísrima 22
112,Hrísrimi 23,Hrísrima 23
112,Hrísrimi 24,Hrísrima 24
112,Hrísrimi 25,Hrísrima 25
112,Hrísrimi 26,Hrísrima 26
112,Hrísrimi 27,Hrísrima 27
112,Hrísrimi 28,Hrísrima 28
112,Hrísrimi 29,Hrísrima 29
112,Hrísrimi 3,Hrísrima 3
112,Hrísrimi 30,Hrísrima 30
112,Hrísrimi 31,Hrísrima 31
112,Hrísrimi 32,Hrísrima 32
112,Hrísrimi 33,Hrísrima 33
112,Hrísrimi 34,Hrísrima 34
112,Hrísrimi 35,Hrísrima 35
112,Hrísrimi 36,Hrísrima 36
112,Hrísrimi 38,Hrísrima 38
112,Hrísrimi 4,Hrísrima 4
112,Hrísrimi 5,Hrísrima 5
112,Hrísrimi 6,Hrísrima 6
112,Hrísrimi 7,Hrísrima 7
112,Hrísrimi 8,Hrísrima 8
112,Hrísrimi 9,Hrísrima 9
112,Hulduborgir 1,Hulduborgum 1
112,Hulduborgir 13,Hulduborgum 13
112,Hulduborgir 15,Hulduborgum 15
112,Hulduborgir 3,Hulduborgum 3
112,Hulduborgir 5,Hulduborgum 5
112,Hvannarimi 10,Hvannarima 10
112,Hvannarimi 12,Hvannarima 12
112,Hvannarimi 14,Hvannarima 14
112,Hvannarimi 16,Hvannarima 16
112,Hvannarimi 18,Hvannarima 18
112,Hvannarimi 2,Hvannarima 2
112,Hvannarimi 20,Hvannarima 20
112,Hvannarimi 22,Hvannarima 22
112,Hvannarimi 24,Hvannarima 24
112,Hvannarimi 26,Hvannarima 26
112,Hvannarimi 4,Hvannarima 4
112,Hvannarimi 6,Hvannarima 6
112,Hvannarimi 8,Hvannarima 8
112,Hverafold,Hverafold
112,Hverafold 1,Hverafold 1
112,Hverafold 10,Hverafold 10
112,Hverafold 100,Hverafold 100
112,Hverafold 102,Hverafold 102
112,Hverafold 104,Hverafold 104
112,Hverafold 106,Hverafold 106
112,Hverafold 108,Hverafold 108
112,Hverafold 110,Hverafold 110
112,Hverafold 112,Hverafold 112
112,Hverafold 114,Hverafold 114
112,Hverafold 116,Hverafold 116
112,Hverafold 118,Hverafold 118
112,Hverafold 12,Hverafold 12
112,Hverafold 120,Hverafold 120
112,Hverafold 122,Hverafold 122
112,Hverafold 124,Hverafold 124
112,Hverafold 126,Hverafold 126
112,Hverafold 128,Hverafold 128
112,Hverafold 130,Hverafold 130
112,Hverafold 132,Hverafold 132
112,Hverafold 134,Hverafold 134
112,Hverafold 136,Hverafold 136
112,Hverafold 138,Hverafold 138
112,Hverafold 14,Hverafold 14
112,Hverafold 140,Hverafold 140
112,Hverafold 142,Hverafold 142
112,Hverafold 144,Hverafold 144
112,Hverafold 146,Hverafold 146
112,Hverafold 16,Hverafold 16
112,Hverafold 18,Hverafold 18
112,Hverafold 19,Hverafold 19
112,Hverafold 2,Hverafold 2
112,Hverafold 20,Hverafold 20
112,Hverafold 21,Hverafold 21
112,Hverafold 22,Hverafold 22
112,Hverafold 23,Hverafold 23
112,Hverafold 24,Hverafold 24
112,Hverafold 25,Hverafold 25
112,Hverafold 26,Hverafold 26
112,Hverafold 27,Hverafold 27
112,Hverafold 28,Hverafold 28
112,Hverafold 29,Hverafold 29
112,Hverafold 3,Hverafold 3
112,Hverafold 30,Hverafold 30
112,Hverafold 30A,Hverafold 30A
112,Hverafold 31,Hverafold 31
112,Hverafold 32,Hverafold 32
112,Hverafold 33,Hverafold 33
112,Hverafold 34,Hverafold 34
112,Hverafold 35,Hverafold 35
112,Hverafold 36,Hverafold 36
112,Hverafold 37,Hverafold 37
112,Hverafold 38,Hverafold 38
112,Hverafold 39,Hverafold 39
112,Hverafold 4,Hverafold 4
112,Hverafold 40,Hverafold 40
112,Hverafold 41,Hverafold 41
112,Hverafold 42,Hverafold 42
112,Hverafold 43,Hverafold 43
112,Hverafold 44,Hverafold 44
112,Hverafold 45,Hverafold 45
112,Hverafold 46,Hverafold 46
112,Hverafold 47,Hverafold 47
112,Hverafold 48,Hverafold 48
112,Hverafold 49,Hverafold 49
112,Hverafold 49A,Hverafold 49A
112,Hverafold 5,Hverafold 5
112,Hverafold 50,Hverafold 50
112,Hverafold 51,Hverafold 51
112,Hverafold 52,Hverafold 52
112,Hverafold 54,Hverafold 54
112,Hverafold 56,Hverafold 56
112,Hverafold 58,Hverafold 58
112,Hverafold 6,Hverafold 6
112,Hverafold 60,Hverafold 60
112,Hverafold 62,Hverafold 62
112,Hverafold 64,Hverafold 64
112,Hverafold 66,Hverafold 66
112,Hverafold 68,Hverafold 68
112,Hverafold 7,Hverafold 7
112,Hverafold 70,Hverafold 70
112,Hverafold 72,Hverafold 72
112,Hverafold 74,Hverafold 74
112,Hverafold 76,Hverafold 76
112,Hverafold 78,Hverafold 78
112,Hverafold 8,Hverafold 8
112,Hverafold 80,Hverafold 80
112,Hverafold 82,Hverafold 82
112,Hverafold 84,Hverafold 84
112,Hverafold 86,Hverafold 86
112,Hverafold 88,Hverafold 88
112,Hverafold 90,Hverafold 90
112,Hverafold 92,Hverafold 92
112,Hverafold 94,Hverafold 94
112,Hverafold 96,Hverafold 96
112,Hverafold 98,Hverafold 98
112,Jöfursbás 1,Jöfursbási 1
112,Jöfursbás 11,Jöfursbási 11
112,Jöfursbás 11A,Jöfursbási 11A
112,Jöfursbás 11B,Jöfursbási 11B
112,Jöfursbás 11C,Jöfursbási 11C
112,Jöfursbás 11D,Jöfursbási 11D
112,Jöfursbás 11E,Jöfursbási 11E
112,Jöfursbás 2,Jöfursbási 2
112,Jöfursbás 2A,Jöfursbási 2A
112,Jöfursbás 3,Jöfursbási 3
112,Jöfursbás 4,Jöfursbási 4
112,Jöfursbás 4A,Jöfursbási 4A
112,Jöfursbás 5,Jöfursbási 5
112,Jöfursbás 5B,Jöfursbási 5B
112,Jöfursbás 5C,Jöfursbási 5C
112,Jöfursbás 5D,Jöfursbási 5D
112,Jöfursbás 6,Jöfursbási 6
112,Jöfursbás 7A,Jöfursbási 7A
112,Jöfursbás 7B,Jöfursbási 7B
112,Jöfursbás 7C,Jöfursbási 7C
112,Jöfursbás 9A,Jöfursbási 9A
112,Jöfursbás 9B,Jöfursbási 9B
112,Jöfursbás 9C,Jöfursbási 9C
112,Jöklafold,Jöklafold
112,Jöklafold 1,Jöklafold 1
112,Jöklafold 10,Jöklafold 10
112,Jöklafold 11,Jöklafold 11
112,Jöklafold 12,Jöklafold 12
112,Jöklafold 13,Jöklafold 13
112,Jöklafold 14,Jöklafold 14
112,Jöklafold 15,Jöklafold 15
112,Jöklafold 16,Jöklafold 16
112,Jöklafold 17,Jöklafold 17
112,Jöklafold 18,Jöklafold 18
112,Jöklafold 19,Jöklafold 19
112,Jöklafold 1A,Jöklafold 1A
112,Jöklafold 2,Jöklafold 2
112,Jöklafold 20,Jöklafold 20
112,Jöklafold 21,Jöklafold 21
112,Jöklafold 22,Jöklafold 22
112,Jöklafold 23,Jöklafold 23
112,Jöklafold 24,Jöklafold 24
112,Jöklafold 25,Jöklafold 25
112,Jöklafold 26,Jöklafold 26
112,Jöklafold 27,Jöklafold 27
112,Jöklafold 29,Jöklafold 29
112,Jöklafold 3,Jöklafold 3
112,Jöklafold 31,Jöklafold 31
112,Jöklafold 33,Jöklafold 33
112,Jöklafold 37,Jöklafold 37
112,Jöklafold 39,Jöklafold 39
112,Jöklafold 4,Jöklafold 4
112,Jöklafold 41,Jöklafold 41
112,Jöklafold 43,Jöklafold 43
112,Jöklafold 45,Jöklafold 45
112,Jöklafold 5,Jöklafold 5
112,Jöklafold 6,Jöklafold 6
112,Jöklafold 7,Jöklafold 7
112,Jöklafold 8,Jöklafold 8
112,Jöklafold 9,Jöklafold 9
112,Jöklafold 9A,Jöklafold 9A
112,Jötnaborgir 1,Jötnaborgum 1
112,Jötnaborgir 11,Jötnaborgum 11
112,Jötnaborgir 12,Jötnaborgum 12
112,Jötnaborgir 13,Jötnaborgum 13
112,Jötnaborgir 15,Jötnaborgum 15
112,Jötnaborgir 3,Jötnaborgum 3
112,Jötnaborgir 4,Jötnaborgum 4
112,Jötnaborgir 5,Jötnaborgum 5
112,Jötnaborgir 6,Jötnaborgum 6
112,Jötnaborgir 7,Jötnaborgum 7
112,Jötnaborgir 9,Jötnaborgum 9
112,Keldnavegur 27,Keldnavegi 27
112,Keldur,
112,Klukkurimi,Klukkurima
112,Klukkurimi 1,Klukkurima 1
112,Klukkurimi 10,Klukkurima 10
112,Klukkurimi 10A,Klukkurima 10A
112,Klukkurimi 11,Klukkurima 11
112,Klukkurimi 12,Klukkurima 12
112,Klukkurimi 13,Klukkurima 13
112,Klukkurimi 14,Klukkurima 14
112,Klukkurimi 15,Klukkurima 15
112,Klukkurimi 16,Klukkurima 16
112,Klukkurimi 17,Klukkurima 17
112,Klukkurimi 18,Klukkurima 18
112,Klukkurimi 19,Klukkurima 19
112,Klukkurimi 1A,Klukkurima 1A
112,Klukkurimi 2,Klukkurima 2
112,Klukkurimi 21,Klukkurima 21
112,Klukkurimi 23,Klukkurima 23
112,Klukkurimi 25,Klukkurima 25
112,Klukkurimi 27,Klukkurima 27
112,Klukkurimi 29,Klukkurima 29
112,Klukkurimi 3,Klukkurima 3
112,Klukkurimi 31,Klukkurima 31
112,Klukkurimi 33,Klukkurima 33
112,Klukkurimi 35,Klukkurima 35
112,Klukkurimi 37,Klukkurima 37
112,Klukkurimi 39,Klukkurima 39
112,Klukkurimi 3A,Klukkurima 3A
112,Klukkurimi 4,Klukkurima 4
112,Klukkurimi 41,Klukkurima 41
112,Klukkurimi 43,Klukkurima 43
112,Klukkurimi 45,Klukkurima 45
112,Klukkurimi 47,Klukkurima 47
112,Klukkurimi 49,Klukkurima 49
112,Klukkurimi 5,Klukkurima 5
112,Klukkurimi 51,Klukkurima 51
112,Klukkurimi 53,Klukkurima 53
112,Klukkurimi 55,Klukkurima 55
112,Klukkurimi 57,Klukkurima 57
112,Klukkurimi 59,Klukkurima 59
112,Klukkurimi 6,Klukkurima 6
112,Klukkurimi 61,Klukkurima 61
112,Klukkurimi 63,Klukkurima 63
112,Klukkurimi 65,Klukkurima 65
112,Klukkurimi 67,Klukkurima 67
112,Klukkurimi 69,Klukkurima 69
112,Klukkurimi 7,Klukkurima 7
112,Klukkurimi 71,Klukkurima 71
112,Klukkurimi 73,Klukkurima 73
112,Klukkurimi 75,Klukkurima 75
112,Klukkurimi 77,Klukkurima 77
112,Klukkurimi 79,Klukkurima 79
112,Klukkurimi 8,Klukkurima 8
112,Klukkurimi 81,Klukkurima 81
112,Klukkurimi 83,Klukkurima 83
112,Klukkurimi 85,Klukkurima 85
112,Klukkurimi 87,Klukkurima 87
112,Klukkurimi 89,Klukkurima 89
112,Klukkurimi 9,Klukkurima 9
112,Klukkurimi 91,Klukkurima 91
112,Klukkurimi 93,Klukkurima 93
112,Klukkurimi 93A,Klukkurima 93A
112,Klukkurimi 95,Klukkurima 95
112,Klukkurimi 95A,Klukkurima 95A
112,Klukkurimi 97,Klukkurima 97
112,Korpúlfsstaðavegur-Go,Korpúlfsstaðavegi
112,Krosshamrar 1,Krosshömrum 1
112,Krosshamrar 10,Krosshömrum 10
112,Krosshamrar 11,Krosshömrum 11
112,Krosshamrar 11A,Krosshömrum 11A
112,Krosshamrar 12,Krosshömrum 12
112,Krosshamrar 13,Krosshömrum 13
112,Krosshamrar 13A,Krosshömrum 13A
112,Krosshamrar 14,Krosshömrum 14
112,Krosshamrar 15,Krosshömrum 15
112,Krosshamrar 16,Krosshömrum 16
112,Krosshamrar 17,Krosshömrum 17
112,Krosshamrar 18,Krosshömrum 18
112,Krosshamrar 19,Krosshömrum 19
112,Krosshamrar 19A,Krosshömrum 19A
112,Krosshamrar 1A,Krosshömrum 1A
112,Krosshamrar 2,Krosshömrum 2
112,Krosshamrar 20,Krosshömrum 20
112,Krosshamrar 21,Krosshömrum 21
112,Krosshamrar 23,Krosshömrum 23
112,Krosshamrar 25,Krosshömrum 25
112,Krosshamrar 27,Krosshömrum 27
112,Krosshamrar 29,Krosshömrum 29
112,Krosshamrar 3,Krosshömrum 3
112,Krosshamrar 31,Krosshömrum 31
112,Krosshamrar 33,Krosshömrum 33
112,Krosshamrar 4,Krosshömrum 4
112,Krosshamrar 5,Krosshömrum 5
112,Krosshamrar 5A,Krosshömrum 5A
112,Krosshamrar 6,Krosshömrum 6
112,Krosshamrar 7,Krosshömrum 7
112,Krosshamrar 7A,Krosshömrum 7A
112,Krosshamrar 8,Krosshömrum 8
112,Krosshamrar 9,Krosshömrum 9
112,Krosshamrar 9A,Krosshömrum 9A
112,Lambhagavegur 14A,Lambhagavegi 14A
112,Langirimi 21,Langarima 21
112,Langirimi 23,Langarima 23
112,Laufengi 1,Laufengi 1
112,Laufengi 100,Laufengi 100
112,Laufengi 102,Laufengi 102
112,Laufengi 104,Laufengi 104
112,Laufengi 106,Laufengi 106
112,Laufengi 108,Laufengi 108
112,Laufengi 11,Laufengi 11
112,Laufengi 110,Laufengi 110
112,Laufengi 112,Laufengi 112
112,Laufengi 114,Laufengi 114
112,Laufengi 116,Laufengi 116
112,Laufengi 118,Laufengi 118
112,Laufengi 12,Laufengi 12
112,Laufengi 120,Laufengi 120
112,Laufengi 122,Laufengi 122
112,Laufengi 124,Laufengi 124
112,Laufengi 126,Laufengi 126
112,Laufengi 128,Laufengi 128
112,Laufengi 130,Laufengi 130
112,Laufengi 132,Laufengi 132
112,Laufengi 134,Laufengi 134
112,Laufengi 136,Laufengi 136
112,Laufengi 138,Laufengi 138
112,Laufengi 14,Laufengi 14
112,Laufengi 140,Laufengi 140
112,Laufengi 142,Laufengi 142
112,Laufengi 144,Laufengi 144
112,Laufengi 146,Laufengi 146
112,Laufengi 148,Laufengi 148
112,Laufengi 15,Laufengi 15
112,Laufengi 150,Laufengi 150
112,Laufengi 152,Laufengi 152
112,Laufengi 154,Laufengi 154
112,Laufengi 156,Laufengi 156
112,Laufengi 158,Laufengi 158
112,Laufengi 16,Laufengi 16
112,Laufengi 160,Laufengi 160
112,Laufengi 162,Laufengi 162
112,Laufengi 164,Laufengi 164
112,Laufengi 166,Laufengi 166
112,Laufengi 168,Laufengi 168
112,Laufengi 170,Laufengi 170
112,Laufengi 172,Laufengi 172
112,Laufengi 174,Laufengi 174
112,Laufengi 176,Laufengi 176
112,Laufengi 178,Laufengi 178
112,Laufengi 180,Laufengi 180
112,Laufengi 182,Laufengi 182
112,Laufengi 184,Laufengi 184
112,Laufengi 2,Laufengi 2
112,Laufengi 22,Laufengi 22
112,Laufengi 23,Laufengi 23
112,Laufengi 23*,Laufengi 23*
112,Laufengi 24,Laufengi 24
112,Laufengi 25,Laufengi 25
112,Laufengi 25*,Laufengi 25*
112,Laufengi 26,Laufengi 26
112,Laufengi 27,Laufengi 27
112,Laufengi 27*,Laufengi 27*
112,Laufengi 28,Laufengi 28
112,Laufengi 29,Laufengi 29
112,Laufengi 3,Laufengi 3
112,Laufengi 30,Laufengi 30
112,Laufengi 32,Laufengi 32
112,Laufengi 34,Laufengi 34
112,Laufengi 36,Laufengi 36
112,Laufengi 38,Laufengi 38
112,Laufengi 4,Laufengi 4
112,Laufengi 40,Laufengi 40
112,Laufengi 42,Laufengi 42
112,Laufengi 44,Laufengi 44
112,Laufengi 46,Laufengi 46
112,Laufengi 48,Laufengi 48
112,Laufengi 5,Laufengi 5
112,Laufengi 50,Laufengi 50
112,Laufengi 52,Laufengi 52
112,Laufengi 54,Laufengi 54
112,Laufengi 56,Laufengi 56
112,Laufengi 58,Laufengi 58
112,Laufengi 6,Laufengi 6
112,Laufengi 60,Laufengi 60
112,Laufengi 62,Laufengi 62
112,Laufengi 64,Laufengi 64
112,Laufengi 66,Laufengi 66
112,Laufengi 68,Laufengi 68
112,Laufengi 70,Laufengi 70
112,Laufengi 72,Laufengi 72
112,Laufengi 74,Laufengi 74
112,Laufengi 76,Laufengi 76
112,Laufengi 78,Laufengi 78
112,Laufengi 8,Laufengi 8
112,Laufengi 80,Laufengi 80
112,Laufengi 82,Laufengi 82
112,Laufengi 84,Laufengi 84
112,Laufengi 86,Laufengi 86
112,Laufengi 88,Laufengi 88
112,Laufengi 9,Laufengi 9
112,Laufengi 90,Laufengi 90
112,Laufengi 92,Laufengi 92
112,Laufengi 94,Laufengi 94
112,Laufengi 96,Laufengi 96
112,Laufengi 98,Laufengi 98
112,Laufrimi 1,Laufrima 1
112,Laufrimi 10A,Laufrima 10A
112,Laufrimi 10B,Laufrima 10B
112,Laufrimi 11,Laufrima 11
112,Laufrimi 12A,Laufrima 12A
112,Laufrimi 12B,Laufrima 12B
112,Laufrimi 13,Laufrima 13
112,Laufrimi 14A,Laufrima 14A
112,Laufrimi 14B,Laufrima 14B
112,Laufrimi 14C,Laufrima 14C
112,Laufrimi 15,Laufrima 15
112,Laufrimi 16,Laufrima 16
112,Laufrimi 17,Laufrima 17
112,Laufrimi 18,Laufrima 18
112,Laufrimi 19,Laufrima 19
112,Laufrimi 2,Laufrima 2
112,Laufrimi 20,Laufrima 20
112,Laufrimi 21,Laufrima 21
112,Laufrimi 22,Laufrima 22
112,Laufrimi 23,Laufrima 23
112,Laufrimi 24,Laufrima 24
112,Laufrimi 25,Laufrima 25
112,Laufrimi 26,Laufrima 26
112,Laufrimi 27,Laufrima 27
112,Laufrimi 28,Laufrima 28
112,Laufrimi 29,Laufrima 29
112,Laufrimi 3,Laufrima 3
112,Laufrimi 30,Laufrima 30
112,Laufrimi 31,Laufrima 31
112,Laufrimi 32,Laufrima 32
112,Laufrimi 33,Laufrima 33
112,Laufrimi 34,Laufrima 34
112,Laufrimi 35,Laufrima 35
112,Laufrimi 37,Laufrima 37
112,Laufrimi 39,Laufrima 39
112,Laufrimi 4,Laufrima 4
112,Laufrimi 41,Laufrima 41
112,Laufrimi 43,Laufrima 43
112,Laufrimi 45,Laufrima 45
112,Laufrimi 47,Laufrima 47
112,Laufrimi 49,Laufrima 49
112,Laufrimi 5,Laufrima 5
112,Laufrimi 51,Laufrima 51
112,Laufrimi 53,Laufrima 53
112,Laufrimi 55,Laufrima 55
112,Laufrimi 57,Laufrima 57
112,Laufrimi 59,Laufrima 59
112,Laufrimi 6,Laufrima 6
112,Laufrimi 61,Laufrima 61
112,Laufrimi 63,Laufrima 63
112,Laufrimi 65,Laufrima 65
112,Laufrimi 67,Laufrima 67
112,Laufrimi 69,Laufrima 69
112,Laufrimi 71,Laufrima 71
112,Laufrimi 73,Laufrima 73
112,Laufrimi 75,Laufrima 75
112,Laufrimi 77,Laufrima 77
112,Laufrimi 79,Laufrima 79
112,Laufrimi 8,Laufrima 8
112,Laufrimi 81,Laufrima 81
112,Laufrimi 83,Laufrima 83
112,Laufrimi 85,Laufrima 85
112,Laufrimi 87,Laufrima 87
112,Laufrimi 89,Laufrima 89
112,Laufrimi 9,Laufrima 9
112,Laufrimi 91,Laufrima 91
112,Leiðhamrar 1,Leiðhömrum 1
112,Leiðhamrar 10,Leiðhömrum 10
112,Leiðhamrar 11,Leiðhömrum 11
112,Leiðhamrar 12,Leiðhömrum 12
112,Leiðhamrar 13,Leiðhömrum 13
112,Leiðhamrar 14,Leiðhömrum 14
112,Leiðhamrar 15,Leiðhömrum 15
112,Leiðhamrar 16,Leiðhömrum 16
112,Leiðhamrar 17,Leiðhömrum 17
112,Leiðhamrar 18,Leiðhömrum 18
112,Leiðhamrar 19,Leiðhömrum 19
112,Leiðhamrar 2,Leiðhömrum 2
112,Leiðhamrar 20,Leiðhömrum 20
112,Leiðhamrar 21,Leiðhömrum 21
112,Leiðhamrar 22,Leiðhömrum 22
112,Leiðhamrar 23,Leiðhömrum 23
112,Leiðhamrar 24,Leiðhömrum 24
112,Leiðhamrar 25,Leiðhömrum 25
112,Leiðhamrar 26,Leiðhömrum 26
112,Leiðhamrar 27,Leiðhömrum 27
112,Leiðhamrar 28,Leiðhömrum 28
112,Leiðhamrar 29,Leiðhömrum 29
112,Leiðhamrar 3,Leiðhömrum 3
112,Leiðhamrar 30,Leiðhömrum 30
112,Leiðhamrar 31,Leiðhömrum 31
112,Leiðhamrar 32,Leiðhömrum 32
112,Leiðhamrar 33,Leiðhömrum 33
112,Leiðhamrar 34,Leiðhömrum 34
112,Leiðhamrar 35,Leiðhömrum 35
112,Leiðhamrar 36,Leiðhömrum 36
112,Leiðhamrar 37,Leiðhömrum 37
112,Leiðhamrar 38,Leiðhömrum 38
112,Leiðhamrar 39,Leiðhömrum 39
112,Leiðhamrar 4,Leiðhömrum 4
112,Leiðhamrar 40,Leiðhömrum 40
112,Leiðhamrar 42,Leiðhömrum 42
112,Leiðhamrar 44,Leiðhömrum 44
112,Leiðhamrar 46,Leiðhömrum 46
112,Leiðhamrar 48,Leiðhömrum 48
112,Leiðhamrar 5,Leiðhömrum 5
112,Leiðhamrar 50,Leiðhömrum 50
112,Leiðhamrar 52,Leiðhömrum 52
112,Leiðhamrar 54,Leiðhömrum 54
112,Leiðhamrar 56,Leiðhömrum 56
112,Leiðhamrar 6,Leiðhömrum 6
112,Leiðhamrar 7,Leiðhömrum 7
112,Leiðhamrar 8,Leiðhömrum 8
112,Leiðhamrar 9,Leiðhömrum 9
112,Leiðhamrar Dofri,Leiðhömrum Dofra
112,Ljósavík 1,Ljósuvík 1
112,Ljósavík 10,Ljósuvík 10
112,Ljósavík 11,Ljósuvík 11
112,Ljósavík 12,Ljósuvík 12
112,Ljósavík 13,Ljósuvík 13
112,Ljósavík 14,Ljósuvík 14
112,Ljósavík 15,Ljósuvík 15
112,Ljósavík 17,Ljósuvík 17
112,Ljósavík 19,Ljósuvík 19
112,Ljósavík 2,Ljósuvík 2
112,Ljósavík 20,Ljósuvík 20
112,Ljósavík 21,Ljósuvík 21
112,Ljósavík 22,Ljósuvík 22
112,Ljósavík 23,Ljósuvík 23
112,Ljósavík 24,Ljósuvík 24
112,Ljósavík 25,Ljósuvík 25
112,Ljósavík 27,Ljósuvík 27
112,Ljósavík 3,Ljósuvík 3
112,Ljósavík 30,Ljósuvík 30
112,Ljósavík 32,Ljósuvík 32
112,Ljósavík 34,Ljósuvík 34
112,Ljósavík 38,Ljósuvík 38
112,Ljósavík 4,Ljósuvík 4
112,Ljósavík 40,Ljósuvík 40
112,Ljósavík 42,Ljósuvík 42
112,Ljósavík 44,Ljósuvík 44
112,Ljósavík 46,Ljósuvík 46
112,Ljósavík 48,Ljósuvík 48
112,Ljósavík 5,Ljósuvík 5
112,Ljósavík 52,Ljósuvík 52
112,Ljósavík 52A,Ljósuvík 52A
112,Ljósavík 54,Ljósuvík 54
112,Ljósavík 54A,Ljósuvík 54A
112,Ljósavík 56,Ljósuvík 56
112,Ljósavík 58,Ljósuvík 58
112,Ljósavík 6,Ljósuvík 6
112,Ljósavík 7,Ljósuvík 7
112,Ljósavík 8,Ljósuvík 8
112,Ljósavík 9,Ljósuvík 9
112,Logafold 1,Logafold 1
112,Logafold 100,Logafold 100
112,Logafold 101,Logafold 101
112,Logafold 102,Logafold 102
112,Logafold 103,Logafold 103
112,Logafold 104,Logafold 104
112,Logafold 105,Logafold 105
112,Logafold 105A,Logafold 105A
112,Logafold 106,Logafold 106
112,Logafold 106A,Logafold 106A
112,Logafold 107,Logafold 107
112,Logafold 108,Logafold 108
112,Logafold 109,Logafold 109
112,Logafold 110,Logafold 110
112,Logafold 111,Logafold 111
112,Logafold 112,Logafold 112
112,Logafold 113,Logafold 113
112,Logafold 114,Logafold 114
112,Logafold 115,Logafold 115
112,Logafold 116,Logafold 116
112,Logafold 117,Logafold 117
112,Logafold 118,Logafold 118
112,Logafold 119,Logafold 119
112,Logafold 120,Logafold 120
112,Logafold 121,Logafold 121
112,Logafold 122,Logafold 122
112,Logafold 123,Logafold 123
112,Logafold 124,Logafold 124
112,Logafold 125,Logafold 125
112,Logafold 126,Logafold 126
112,Logafold 127,Logafold 127
112,Logafold 128,Logafold 128
112,Logafold 129,Logafold 129
112,Logafold 13,Logafold 13
112,Logafold 130,Logafold 130
112,Logafold 131,Logafold 131
112,Logafold 132,Logafold 132
112,Logafold 133,Logafold 133
112,Logafold 134,Logafold 134
112,Logafold 135,Logafold 135
112,Logafold 136,Logafold 136
112,Logafold 137,Logafold 137
112,Logafold 138,Logafold 138
112,Logafold 139,Logafold 139
112,Logafold 140,Logafold 140
112,Logafold 141,Logafold 141
112,Logafold 142,Logafold 142
112,Logafold 143,Logafold 143
112,Logafold 144,Logafold 144
112,Logafold 145,Logafold 145
112,Logafold 146,Logafold 146
112,Logafold 147,Logafold 147
112,Logafold 148,Logafold 148
112,Logafold 149,Logafold 149
112,Logafold 15,Logafold 15
112,Logafold 150,Logafold 150
112,Logafold 151,Logafold 151
112,Logafold 152,Logafold 152
112,Logafold 153,Logafold 153
112,Logafold 154,Logafold 154
112,Logafold 155,Logafold 155
112,Logafold 156,Logafold 156
112,Logafold 157,Logafold 157
112,Logafold 158,Logafold 158
