POSTNR,HEITI_NF,HEITI_TGF
101,Barónsstígur 78A,Barónsstíg 78A
101,Barónsstígur 80,Barónsstíg 80
101,Bergstaðastræti 1,Bergstaðastræti 1
101,Bergstaðastræti 10,Bergstaðastræti 10
101,Bergstaðastræti 10A,Bergstaðastræti 10A
101,Bergstaðastræti 10C,Bergstaðastræti 10C
101,Bergstaðastræti 11A,Bergstaðastræti 11A
101,Bergstaðastræti 12,Bergstaðastræti 12
101,Bergstaðastræti 12B,Bergstaðastræti 12B
101,Bergstaðastræti 12a,Bergstaðastræti 12a
101,Bergstaðastræti 13,Bergstaðastræti 13
101,Bergstaðastræti 14,Bergstaðastræti 14
101,Bergstaðastræti 15,Bergstaðastræti 15
101,Bergstaðastræti 16,Bergstaðastræti 16
101,Bergstaðastræti 17,Bergstaðastræti 17
101,Bergstaðastræti 17B,Bergstaðastræti 17B
101,Bergstaðastræti 18,Bergstaðastræti 18
101,Bergstaðastræti 18B,Bergstaðastræti 18B
101,Bergstaðastræti 18C,Bergstaðastræti 18C
101,Bergstaðastræti 19,Bergstaðastræti 19
101,Bergstaðastræti 19B,Bergstaðastræti 19B
101,Bergstaðastræti 2,Bergstaðastræti 2
101,Bergstaðastræti 20,Bergstaðastræti 20
101,Bergstaðastræti 21,Bergstaðastræti 21
101,Bergstaðastræti 21B,Bergstaðastræti 21B
101,Bergstaðastræti 22,Bergstaðastræti 22
101,Bergstaðastræti 24,Bergstaðastræti 24
101,Bergstaðastræti 24B,Bergstaðastræti 24B
101,Bergstaðastræti 25,Bergstaðastræti 25
101,Bergstaðastræti 25B,Bergstaðastræti 25B
101,Bergstaðastræti 26,Bergstaðastræti 26
101,Bergstaðastræti 26B,Bergstaðastræti 26B
101,Bergstaðastræti 27,Bergstaðastræti 27
101,Bergstaðastræti 28,Bergstaðastræti 28
101,Bergstaðastræti 28A,Bergstaðastræti 28A
101,Bergstaðastræti 28B,Bergstaðastræti 28B
101,Bergstaðastræti 29,Bergstaðastræti 29
101,Bergstaðastræti 3,Bergstaðastræti 3
101,Bergstaðastræti 30,Bergstaðastræti 30
101,Bergstaðastræti 30B,Bergstaðastræti 30B
101,Bergstaðastræti 31,Bergstaðastræti 31
101,Bergstaðastræti 31A,Bergstaðastræti 31A
101,Bergstaðastræti 32A,Bergstaðastræti 32A
101,Bergstaðastræti 32B,Bergstaðastræti 32B
101,Bergstaðastræti 33,Bergstaðastræti 33
101,Bergstaðastræti 33A,Bergstaðastræti 33A
101,Bergstaðastræti 33B,Bergstaðastræti 33B
101,Bergstaðastræti 34,Bergstaðastræti 34
101,Bergstaðastræti 34B,Bergstaðastræti 34B
101,Bergstaðastræti 36,Bergstaðastræti 36
101,Bergstaðastræti 37,Bergstaðastræti 37
101,Bergstaðastræti 38,Bergstaðastræti 38
101,Bergstaðastræti 4,Bergstaðastræti 4
101,Bergstaðastræti 40,Bergstaðastræti 40
101,Bergstaðastræti 42,Bergstaðastræti 42
101,Bergstaðastræti 43,Bergstaðastræti 43
101,Bergstaðastræti 43A,Bergstaðastræti 43A
101,Bergstaðastræti 44,Bergstaðastræti 44
101,Bergstaðastræti 45,Bergstaðastræti 45
101,Bergstaðastræti 45A,Bergstaðastræti 45A
101,Bergstaðastræti 46,Bergstaðastræti 46
101,Bergstaðastræti 48,Bergstaðastræti 48
101,Bergstaðastræti 48A,Bergstaðastræti 48A
101,Bergstaðastræti 49,Bergstaðastræti 49
101,Bergstaðastræti 5,Bergstaðastræti 5
101,Bergstaðastræti 50,Bergstaðastræti 50
101,Bergstaðastræti 50A,Bergstaðastræti 50A
101,Bergstaðastræti 50B,Bergstaðastræti 50B
101,Bergstaðastræti 51,Bergstaðastræti 51
101,Bergstaðastræti 52,Bergstaðastræti 52
101,Bergstaðastræti 52A,Bergstaðastræti 52A
101,Bergstaðastræti 53,Bergstaðastræti 53
101,Bergstaðastræti 54,Bergstaðastræti 54
101,Bergstaðastræti 55,Bergstaðastræti 55
101,Bergstaðastræti 56,Bergstaðastræti 56
101,Bergstaðastræti 57,Bergstaðastræti 57
101,Bergstaðastræti 59,Bergstaðastræti 59
101,Bergstaðastræti 6,Bergstaðastræti 6
101,Bergstaðastræti 60,Bergstaðastræti 60
101,Bergstaðastræti 61,Bergstaðastræti 61
101,Bergstaðastræti 62,Bergstaðastræti 62
101,Bergstaðastræti 62A,Bergstaðastræti 62A
101,Bergstaðastræti 63,Bergstaðastræti 63
101,Bergstaðastræti 64,Bergstaðastræti 64
101,Bergstaðastræti 65,Bergstaðastræti 65
101,Bergstaðastræti 66,Bergstaðastræti 66
101,Bergstaðastræti 67,Bergstaðastræti 67
101,Bergstaðastræti 68,Bergstaðastræti 68
101,Bergstaðastræti 69,Bergstaðastræti 69
101,Bergstaðastræti 7,Bergstaðastræti 7
101,Bergstaðastræti 70,Bergstaðastræti 70
101,Bergstaðastræti 71,Bergstaðastræti 71
101,Bergstaðastræti 72,Bergstaðastræti 72
101,Bergstaðastræti 73,Bergstaðastræti 73
101,Bergstaðastræti 74,Bergstaðastræti 74
101,Bergstaðastræti 74A,Bergstaðastræti 74A
