UTGDAG,SVFN,POSTNR,KAUPVERD,EINFLM,FERMETRAVERD,TEGUND
2006-05,5716,550,13500000,"163,5",82569,Einbýli
2006-05,5716,550,17300000,"148,6",116420,Sérbýli
2006-05,5716,550,21000000,"261,4",80337,Einbýli
2006-05,1400,221,21400000,"101,1",211672,Fjölbýli
2006-05,1400,220,15100000,"79,2",190657,Fjölbýli
2006-05,6000,600,9900000,"78,5",126115,Fjölbýli
2006-05,0,111,16700000,"91,9",181719,Fjölbýli
2006-05,3000,300,10500000,"53,8",195167,Fjölbýli
2006-05,8508,870,10000000,"120,2",83195,Einbýli
2006-05,2000,230,9000000,"62,4",144231,Fjölbýli
2006-05,1400,220,20000000,"146,6",136426,Fjölbýli
2006-05,1000,200,18400000,"74,4",247312,Fjölbýli
2006-05,0,110,16200000,"90,1",179800,Fjölbýli
2006-05,6250,625,4500000,"89,8",50111,Einbýli
2006-05,0,104,13200000,"64,0",206250,Fjölbýli
2006-05,4200,400,12800000,"176,0",72727,Fjölbýli
2006-05,0,113,16000000,"71,1",225035,Fjölbýli
2006-05,8401,780,3562000,"104,9",33956,Einbýli
2006-05,0,105,82500000,"428,9",192353,Einbýli
2006-05,0,109,13500000,"47,8",282427,Fjölbýli
2006-04,6000,600,23500000,"166,8",140887,Sérbýli
2006-05,6000,600,25500000,"282,4",90297,Sérbýli
2006-05,6000,603,17500000,"90,0",194444,Fjölbýli
2006-05,1400,220,28500000,"150,0",190000,Fjölbýli
2006-05,1000,200,17750000,"92,7",191478,Fjölbýli
2006-05,5716,550,27500000,"299,4",91850,Einbýli
2006-05,1400,220,29500000,"187,5",157333,Fjölbýli
2006-05,2000,230,10700000,"68,3",156662,Fjölbýli
2006-05,6100,640,10000000,"167,5",59701,Sérbýli
2006-05,0,108,20300000,"83,1",244284,Fjölbýli
2006-05,0,101,49800000,"132,1",376987,Fjölbýli
2006-05,0,101,39500000,"106,7",370197,Fjölbýli
2006-05,0,110,10400000,"44,4",234234,Fjölbýli
2006-05,0,104,34600000,"163,6",211491,Fjölbýli
2006-05,0,112,21500000,"94,5",227513,Fjölbýli
2006-05,0,110,32000000,"209,4",152818,Fjölbýli
2006-05,0,105,19000000,"68,0",279412,Fjölbýli
2006-05,0,110,23500000,"105,9",221907,Fjölbýli
2006-04,6000,603,25000000,"149,3",167448,Fjölbýli
2006-05,6000,603,25300000,"177,8",142295,Sérbýli
2006-05,8716,810,14000000,"69,6",201149,Einbýli
2006-05,2506,190,22800000,"171,1",133255,Fjölbýli
2006-05,0,101,30200000,"90,6",333333,Einbýli
2006-05,2000,230,16400000,"100,2",163673,Sérbýli
2006-05,4200,400,4200000,"70,1",59914,Fjölbýli
2006-05,0,110,16500000,"59,0",279661,Fjölbýli
2006-04,0,101,18100000,"90,3",200443,Fjölbýli
2006-05,0,107,14800000,"58,1",254733,Fjölbýli
2006-05,0,108,22700000,"95,2",238445,Fjölbýli
2006-05,0,113,16100000,"69,5",231655,Fjölbýli
2006-05,0,112,16900000,"72,6",232782,Fjölbýli
2006-05,0,110,27000000,"124,6",216693,Fjölbýli
2006-05,0,112,18300000,"113,8",160808,Fjölbýli
2006-05,1100,170,25500000,"107,0",238318,Fjölbýli
2006-05,1000,203,29100000,"124,1",234488,Fjölbýli
2006-05,2000,260,11900000,"86,7",137255,Fjölbýli
2006-05,0,105,17500000,"85,5",204678,Fjölbýli
2006-05,1604,270,20300000,"114,3",177603,Fjölbýli
2006-05,0,105,14400000,"70,6",203966,Fjölbýli
2006-05,1400,221,26190000,"133,1",196769,Fjölbýli
2006-05,1000,200,15500000,"60,5",256198,Fjölbýli
2006-05,1000,201,22550000,"105,1",214558,Fjölbýli
2006-05,0,110,19700000,"123,2",159903,Fjölbýli
2006-05,1604,270,19400000,"79,9",242804,Fjölbýli
2006-05,6000,603,23900000,"129,2",184985,Sérbýli
2006-05,6000,603,23500000,"120,4",195183,Sérbýli
2006-05,1604,270,22500000,"86,6",259815,Sérbýli
2006-05,1604,270,33500000,"165,0",203030,Einbýli
2006-05,0,105,31000000,"134,5",230483,Fjölbýli
2006-05,0,112,17700000,"86,2",205336,Fjölbýli
2006-05,0,111,14100000,"62,4",225962,Fjölbýli
2006-05,0,104,14500000,"74,9",193591,Fjölbýli
2006-05,1300,210,16800000,"77,3",217335,Fjölbýli
2006-05,7400,700,13400000,"102,5",130732,Fjölbýli
2006-05,0,108,29450000,"162,2",181566,Sérbýli
2006-05,0,104,42000000,"185,5",226415,Fjölbýli
2006-05,0,104,16500000,"103,7",159113,Fjölbýli
2006-05,6250,580,2700000,"117,8",22920,Fjölbýli
2006-04,2000,230,11500000,"86,5",132948,Fjölbýli
2006-05,2300,240,15000000,"74,3",201884,Sérbýli
2006-05,6100,640,9100000,"90,8",100220,Fjölbýli
2006-05,8717,815,11800000,"122,3",96484,Einbýli
