season,position,,team,played,won,drawn,lost,goals,goal difference,points,goals for,goals against,points per game,last result,form,gf,ga,games scored in,clean sheets
2019-2020,5.0,,Manchester United,22,9,7,6,36:25,11,34,36,25,1.55,W,L-W-W-L-W,1,0,17,4
2019-2020,5.0,,Manchester United,23,9,7,7,36:27,9,34,36,27,1.48,L,W-W-L-W-L,0,1,17,4
2019-2020,5.0,,Manchester United,24,9,7,8,36:29,7,34,36,29,1.42,L,W-L-W-L-L,0,1,17,4
2019-2020,7.0,,Manchester United,25,9,8,8,36:29,7,35,36,29,1.4,D,L-W-L-L-D,0,0,17,5
2019-2020,7.0,,Manchester United,26,10,8,8,38:29,9,38,38,29,1.46,W,W-L-L-D-W,1,0,18,6
2019-2020,5.0,,Manchester United,27,11,8,8,41:29,12,41,41,29,1.52,W,L-L-D-W-W,1,0,19,7
2019-2020,5.0,,Manchester United,28,11,9,8,42:30,12,42,42,30,1.5,D,L-D-W-W-D,1,1,20,7
2019-2020,5.0,,Manchester United,29,12,9,8,44:30,14,45,44,30,1.55,W,D-W-W-D-W,1,0,21,8
2019-2020,5.0,,Manchester United,30,12,10,8,45:31,14,46,45,31,1.53,D,W-W-D-W-D,1,1,22,8
2019-2020,5.0,,Manchester United,31,13,10,8,48:31,17,49,48,31,1.58,W,W-D-W-D-W,1,0,23,9
2019-2020,5.0,,Manchester United,32,14,10,8,51:31,20,52,51,31,1.63,W,D-W-D-W-W,1,0,24,10
2019-2020,5.0,,Manchester United,33,15,10,8,56:33,23,55,56,33,1.67,W,W-D-W-W-W,1,1,25,10
2019-2020,5.0,,Manchester United,34,16,10,8,59:33,26,58,59,33,1.71,W,D-W-W-W-W,1,0,26,11
2019-2020,5.0,,Manchester United,35,16,11,8,61:35,26,59,61,35,1.69,D,W-W-W-W-D,1,1,27,11
2019-2020,5.0,,Manchester United,36,17,11,8,63:35,28,62,63,35,1.72,W,W-W-W-D-W,1,0,28,12
2019-2020,3.0,,Manchester United,37,17,12,8,64:36,28,63,64,36,1.7,D,W-W-D-W-D,1,1,29,12
2019-2020,3.0,,Manchester United,38,18,12,8,66:36,30,66,66,36,1.74,W,W-D-W-D-W,1,0,30,13
2020-2021,nan,,Manchester United,1,1,0,0,1:0,1,3,1,0,3.0,W,W,1,0,1,1
2020-2021,12.0,,Manchester United,2,1,0,1,2:3,-1,3,2,3,1.5,L,W-L,1,1,2,1
2020-2021,9.0,,Manchester United,3,2,0,1,5:5,0,6,5,5,2.0,W,W-L-W,1,1,3,1
2020-2021,15.0,,Manchester United,4,2,0,2,6:11,-5,6,6,11,1.5,L,W-L-W-L,1,1,4,1
2020-2021,7.0,,Manchester United,5,3,0,2,10:12,-2,9,10,12,1.8,W,W-L-W-L-W,1,1,5,1
2020-2021,10.0,,Manchester United,6,3,1,2,10:12,-2,10,10,12,1.67,D,L-W-L-W-D,0,0,5,2
2020-2021,13.0,,Manchester United,7,3,1,3,10:13,-3,10,10,13,1.43,L,W-L-W-D-L,0,1,5,2
2020-2021,10.0,,Manchester United,8,4,1,3,13:14,-1,13,13,14,1.63,W,L-W-D-L-W,1,1,6,2
2020-2021,7.0,,Manchester United,9,5,1,3,14:14,0,16,14,14,1.78,W,W-D-L-W-W,1,0,7,3
2020-2021,4.0,,Manchester United,10,6,1,3,17:16,1,19,17,16,1.9,W,D-L-W-W-W,1,1,8,3
2020-2021,4.0,,Manchester United,11,7,1,3,20:17,3,22,20,17,2.0,W,L-W-W-W-W,1,1,9,3
2020-2021,5.0,,Manchester United,12,7,2,3,20:17,3,23,20,17,1.92,D,W-W-W-W-D,0,0,9,4
2020-2021,2.0,,Manchester United,13,8,2,3,23:19,4,26,23,19,2.0,W,W-W-W-D-W,1,1,10,4
2020-2021,2.0,,Manchester United,14,9,2,3,29:21,8,29,29,21,2.07,W,W-W-D-W-W,1,1,11,4
2020-2021,2.0,,Manchester United,15,9,3,3,31:23,8,30,31,23,2.0,D,W-D-W-W-D,1,1,12,4
2020-2021,2.0,,Manchester United,16,10,3,3,32:23,9,33,32,23,2.06,W,D-W-W-D-W,1,0,13,5
2020-2021,1.0,,Manchester United,17,11,3,3,34:24,10,36,34,24,2.12,W,W-W-D-W-W,1,1,14,5
2020-2021,1.0,,Manchester United,18,12,3,3,36:25,11,39,36,25,2.17,W,W-D-W-W-W,1,1,15,5
2020-2021,2.0,,Manchester United,19,12,4,3,36:25,11,40,36,25,2.11,D,D-W-W-W-D,0,0,15,6
2020-2021,2.0,,Manchester United,20,12,4,4,37:27,10,40,37,27,2.0,L,W-W-W-D-L,1,1,16,6
2020-2021,2.0,,Manchester United,21,12,5,4,37:27,10,41,37,27,1.95,D,W-W-D-L-D,0,0,16,7
2020-2021,2.0,,Manchester United,22,13,5,4,46:27,19,44,46,27,2.0,W,W-D-L-D-W,1,0,17,8
2020-2021,2.0,,Manchester United,23,13,6,4,49:30,19,45,49,30,1.96,D,D-L-D-W-D,1,1,18,8
2020-2021,2.0,,Manchester United,24,13,7,4,50:31,19,46,50,31,1.92,D,L-D-W-D-D,1,1,19,8
2020-2021,2.0,,Manchester United,25,14,7,4,53:32,21,49,53,32,1.96,W,D-W-D-D-W,1,1,20,8
2020-2021,2.0,,Manchester United,26,14,8,4,53:32,21,50,53,32,1.92,D,W-D-D-W-D,0,0,20,9
2020-2021,2.0,,Manchester United,27,15,8,4,55:32,23,53,55,32,1.96,W,D-D-W-D-W,1,0,21,10
2020-2021,2.0,,Manchester United,28,16,8,4,56:32,24,56,56,32,2.0,W,D-W-D-W-W,1,0,22,11
2020-2021,2.0,,Manchester United,29,16,9,4,56:32,24,57,56,32,1.97,D,W-D-W-W-D,0,0,22,12
2020-2021,2.0,,Manchester United,30,17,9,4,58:33,25,60,58,33,2.0,W,D-W-W-D-W,1,1,23,12
2020-2021,2.0,,Manchester United,31,18,9,4,61:34,27,63,61,34,2.03,W,W-W-D-W-W,1,1,24,12
2020-2021,2.0,,Manchester United,32,19,9,4,64:35,29,66,64,35,2.06,W,W-D-W-W-W,1,1,25,12
