season,position,,team,played,won,drawn,lost,goals,goal difference,points,goals for,goals against,points per game,last result,form,gf,ga,games scored in,clean sheets
2023-2024,9.0,,Manchester United,6,3,0,3,7:10,-3,9,7,10,1.5,W,L-W-L-L-W,1,0,5,2
2023-2024,10.0,,Manchester United,7,3,0,4,7:11,-4,9,7,11,1.29,L,W-L-L-W-L,0,1,5,2
2023-2024,10.0,,Manchester United,8,4,0,4,9:12,-3,12,9,12,1.5,W,L-L-W-L-W,1,1,6,2
2023-2024,8.0,,Manchester United,9,5,0,4,11:13,-2,15,11,13,1.67,W,L-W-L-W-W,1,1,7,2
2023-2024,8.0,,Manchester United,10,5,0,5,11:16,-5,15,11,16,1.5,L,W-L-W-W-L,0,1,7,2
2023-2024,8.0,,Manchester United,11,6,0,5,12:16,-4,18,12,16,1.64,W,L-W-W-L-W,1,0,8,3
2023-2024,6.0,,Manchester United,12,7,0,5,13:16,-3,21,13,16,1.75,W,W-W-L-W-W,1,0,9,4
2023-2024,6.0,,Manchester United,13,8,0,5,16:16,0,24,16,16,1.85,W,W-L-W-W-W,1,0,10,5
2023-2024,7.0,,Manchester United,14,8,0,6,16:17,-1,24,16,17,1.71,L,L-W-W-W-L,0,1,10,5
2023-2024,6.0,,Manchester United,15,9,0,6,18:18,0,27,18,18,1.8,W,W-W-W-L-W,1,1,11,5
2023-2024,6.0,,Manchester United,16,9,0,7,18:21,-3,27,18,21,1.69,L,W-W-L-W-L,0,1,11,5
2023-2024,7.0,,Manchester United,17,9,1,7,18:21,-3,28,18,21,1.65,D,W-L-W-L-D,0,0,11,6
2023-2024,8.0,,Manchester United,18,9,1,8,18:23,-5,28,18,23,1.56,L,L-W-L-D-L,0,1,11,6
2023-2024,7.0,,Manchester United,19,10,1,8,21:25,-4,31,21,25,1.63,W,W-L-D-L-W,1,1,12,6
2023-2024,8.0,,Manchester United,20,10,1,9,22:27,-5,31,22,27,1.55,L,L-D-L-W-L,1,1,13,6
2023-2024,8.0,,Manchester United,21,10,2,9,24:29,-5,32,24,29,1.52,D,D-L-W-L-D,1,1,14,6
2023-2024,7.0,,Manchester United,22,11,2,9,28:32,-4,35,28,32,1.59,W,L-W-L-D-W,1,1,15,6
2023-2024,6.0,,Manchester United,23,12,2,9,31:32,-1,38,31,32,1.65,W,W-L-D-W-W,1,0,16,7
2023-2024,6.0,,Manchester United,24,13,2,9,33:33,0,41,33,33,1.71,W,L-D-W-W-W,1,1,17,7
2023-2024,6.0,,Manchester United,25,14,2,9,35:34,1,44,35,34,1.76,W,D-W-W-W-W,1,1,18,7
2023-2024,6.0,,Manchester United,26,14,2,10,36:36,0,44,36,36,1.69,L,W-W-W-W-L,1,1,19,7
2023-2024,6.0,,Manchester United,27,14,2,11,37:39,-2,44,37,39,1.63,L,W-W-W-L-L,1,1,20,7
2023-2024,6.0,,Manchester United,28,15,2,11,39:39,0,47,39,39,1.68,W,W-W-L-L-W,1,0,21,8
2023-2024,6.0,,Manchester United,29,16,2,11,43:41,2,50,43,41,1.72,W,W-L-L-W-W,1,1,22,8
2023-2024,6.0,,Manchester United,30,16,3,11,44:42,2,51,44,42,1.7,D,L-L-W-W-D,1,1,23,8
2023-2024,6.0,,Manchester United,31,16,3,12,47:46,1,51,47,46,1.65,L,L-W-W-D-L,1,1,24,8
2023-2024,6.0,,Manchester United,32,16,4,12,49:48,1,52,49,48,1.63,D,W-W-D-L-D,1,1,25,8
2023-2024,6.0,,Manchester United,33,16,5,12,51:50,1,53,51,50,1.61,D,W-D-L-D-D,1,1,26,8
2023-2024,6.0,,Manchester United,34,17,5,12,54:52,2,56,54,52,1.65,W,D-L-D-D-W,1,1,27,8
2023-2024,6.0,,Manchester United,35,17,6,12,55:53,2,57,55,53,1.63,D,L-D-D-W-D,1,1,28,8
2023-2024,7.0,,Manchester United,36,17,6,13,55:57,-2,57,55,57,1.58,L,D-D-W-D-L,0,1,28,8
2023-2024,8.0,,Manchester United,37,17,6,14,55:58,-3,57,55,58,1.54,L,D-W-D-L-L,0,1,28,8
2023-2024,8.0,,Manchester United,38,18,6,14,57:58,-1,60,57,58,1.58,W,W-D-L-L-W,1,0,29,9
2024-2025,7.0,,Manchester United,1,1,0,0,1:0,1,3,1,0,3.0,W,W,1,0,1,1
2024-2025,nan,,Manchester United,2,1,0,1,2:2,0,3,2,2,1.5,L,W-L,1,1,2,1
2024-2025,14.0,,Manchester United,3,1,0,2,2:5,-3,3,2,5,1.0,L,W-L-L,0,1,2,1
2024-2025,10.0,,Manchester United,4,2,0,2,5:5,0,6,5,5,1.5,W,W-L-L-W,1,0,3,2
2024-2025,11.0,,Manchester United,5,2,1,2,5:5,0,7,5,5,1.4,D,W-L-L-W-D,0,0,3,3
2024-2025,13.0,,Manchester United,6,2,1,3,5:8,-3,7,5,8,1.17,L,L-L-W-D-L,0,1,3,3
2024-2025,14.0,,Manchester United,7,2,2,3,5:8,-3,8,5,8,1.14,D,L-W-D-L-D,0,0,3,4
2024-2025,12.0,,Manchester United,8,3,2,3,7:9,-2,11,7,9,1.38,W,W-D-L-D-W,1,1,4,4
2024-2025,14.0,,Manchester United,9,3,2,4,8:11,-3,11,8,11,1.22,L,D-L-D-W-L,1,1,5,4
2024-2025,13.0,,Manchester United,10,3,3,4,9:12,-3,12,9,12,1.2,D,L-D-W-L-D,1,1,6,4
2024-2025,13.0,,Manchester United,11,4,3,4,12:12,0,15,12,12,1.36,W,D-W-L-D-W,1,0,7,5
2024-2025,12.0,,Manchester United,12,4,4,4,13:13,0,16,13,13,1.33,D,W-L-D-W-D,1,1,8,5
2024-2025,9.0,,Manchester United,13,5,4,4,17:13,4,19,17,13,1.46,W,L-D-W-D-W,1,0,9,6
2024-2025,13.0,,Manchester United,14,5,4,5,17:15,2,19,17,15,1.36,L,D-W-D-W-L,0,1,9,6
2024-2025,13.0,,Manchester United,15,5,4,6,19:18,1,19,19,18,1.27,L,W-D-W-L-L,1,1,10,6
2024-2025,13.0,,Manchester United,16,6,4,6,21:19,2,22,21,19,1.38,W,D-W-L-L-W,1,1,11,6
2024-2025,13.0,,Manchester United,17,6,4,7,21:22,-1,22,21,22,1.29,L,W-L-L-W-L,0,1,11,6
2024-2025,14.0,,Manchester United,18,6,4,8,21:24,-3,22,21,24,1.22,L,L-L-W-L-L,0,1,11,6
2024-2025,14.0,,Manchester United,19,6,4,9,21:26,-5,22,21,26,1.16,L,L-W-L-L-L,0,1,11,6
2024-2025,13.0,,Manchester United,20,6,5,9,23:28,-5,23,23,28,1.15,D,W-L-L-L-D,1,1,12,6
2024-2025,12.0,,Manchester United,21,7,5,9,26:29,-3,26,26,29,1.24,W,L-L-L-D-W,1,1,13,6
2024-2025,13.0,,Manchester United,22,7,5,10,27:32,-5,26,27,32,1.18,L,L-L-D-W-L,1,1,14,6
2024-2025,12.0,,Manchester United,23,8,5,10,28:32,-4,29,28,32,1.26,W,L-D-W-L-W,1,0,15,7
2024-2025,13.0,,Manchester United,24,8,5,11,28:34,-6,29,28,34,1.21,L,D-W-L-W-L,0,1,15,7
2024-2025,15.0,,Manchester United,25,8,5,12,28:35,-7,29,28,35,1.16,L,W-L-W-L-L,0,1,15,7
2024-2025,15.0,,Manchester United,26,8,6,12,30:37,-7,30,30,37,1.15,D,L-W-L-L-D,1,1,16,7
2024-2025,14.0,,Manchester United,27,9,6,12,33:39,-6,33,33,39,1.22,W,W-L-L-D-W,1,1,17,7
2024-2025,14.0,,Manchester United,28,9,7,12,34:40,-6,34,34,40,1.21,D,L-L-D-W-D,1,1,18,7
2024-2025,13.0,,Manchester United,29,10,7,12,37:40,-3,37,37,40,1.28,W,L-D-W-D-W,1,0,19,8
2024-2025,13.0,,Manchester United,30,10,7,13,37:41,-4,37,37,41,1.23,L,D-W-D-W-L,0,1,19,8
2024-2025,13.0,,Manchester United,31,10,8,13,37:41,-4,38,37,41,1.23,D,W-D-W-L-D,0,0,19,9
2024-2025,14.0,,Manchester United,32,10,8,14,38:45,-7,38,38,45,1.19,L,D-W-L-D-L,1,1,20,9
2024-2025,14.0,,Manchester United,33,10,8,15,38:46,-8,38,38,46,1.15,L,W-L-D-L-L,0,1,20,9
2024-2025,14.0,,Manchester United,34,10,9,15,39:47,-8,39,39,47,1.15,D,L-D-L-L-D,1,1,21,9
2024-2025,15.0,,Manchester United,35,10,9,16,42:51,-9,39,42,51,1.11,L,D-L-L-D-L,1,1,22,9
2024-2025,16.0,,Manchester United,36,10,9,17,42:53,-11,39,42,53,1.08,L,L-L-D-L-L,0,1,22,9
2024-2025,16.0,,Manchester United,37,10,9,18,42:54,-12,39,42,54,1.05,L,L-D-L-L-L,0,1,22,9
2024-2025,15.0,,Manchester United,38,11,9,18,44:54,-10,42,44,54,1.11,W,D-L-L-L-W,1,0,23,10
2025-2026,nan,,Manchester United,1,0,0,1,0:1,-1,0,0,1,0.0,L,L,0,1,0,0
2025-2026,16.0,,Manchester United,2,0,1,1,1:2,-1,1,1,2,0.5,D,L-D,1,1,1,0
2025-2026,9.0,,Manchester United,3,1,1,1,4:4,0,4,4,4,1.33,W,L-D-W,1,1,2,0
2025-2026,14.0,,Manchester United,4,1,1,2,4:7,-3,4,4,7,1.0,L,L-D-W-L,0,1,2,0
2025-2026,11.0,,Manchester United,5,2,1,2,6:8,-2,7,6,8,1.4,W,L-D-W-L-W,1,1,3,0
2025-2026,14.0,,Manchester United,6,2,1,3,7:11,-4,7,7,11,1.17,L,D-W-L-W-L,1,1,4,0
2025-2026,10.0,,Manchester United,7,3,1,3,9:11,-2,10,9,11,1.43,W,W-L-W-L-W,1,0,5,1
2025-2026,9.0,,Manchester United,8,4,1,3,11:12,-1,13,11,12,1.63,W,L-W-L-W-W,1,1,6,1
2025-2026,6.0,,Manchester United,9,5,1,3,15:14,1,16,15,14,1.78,W,W-L-W-W-W,1,1,7,1
2025-2026,7,,Manchester United,10,5,2,3,17:16,1,17,17,16,1.7,D,L-W-W-W-D,1,1,8,1
