FAERSLUNUMER,FASTNUM,HEIMILISFANG,POSTNR,UTGDAG,KAUPVERD,FASTEIGNAMAT,FASTEIGNAMAT_GILDANDI,BYGGAR,EINFLM,FJHERB
500342,2067729,Melabraut 3,170,2006-05-08,25500,19610,93450,1963,"102,3",3
500343,2254380,Kristnibraut 7,113,2006-05-08,51000,42450,130850,2003,"240,2",4
500344,2051170,Hamraberg 14,111,2006-03-30,30700,24020,79150,1981,"133,4",4
500345,2017735,Hjallavegur 28,104,2006-05-08,13000,10810,44200,1949,"55,0",1
500346,2052528,Iðufell 4,111,2006-05-08,13700,13015,46150,1973,"82,0",2
500348,2007862,Grettisgata 32,101,2006-05-08,20300,15900,69100,1962,"88,2",2
500349,2036933,Gautland 3,108,2006-05-08,22500,18270,75250,1969,"102,9",3
500350,2007630,Þórsgata 14,101,2006-05-09,16700,11930,51350,1934,"50,2",2
500351,2037257,Goðaland 16,108,2006-05-08,47000,39090,158750,1969,"250,0",4
500352,2040981,Veghús 13,112,2006-05-05,16000,13220,50750,1990,"73,8",1
500354,2008003,Grettisgata 60,101,2006-05-08,10900,8030,39500,1923,"35,1",1
500355,2012820,Háteigsvegur 48,105,2006-05-09,14100,10370,51150,1964,"51,8",1
500357,2013289,Skipholt 53,105,2006-05-09,16900,14100,60100,1963,"88,9",2
500358,2000771,Framnesvegur 34,101,2006-05-05,13200,11325,52000,1930,"60,4",2
500360,2223287,Bjartahlíð 39,270,2006-05-05,5000,2897,7680,1995,"56,0",
500360,2223288,Bjartahlíð 39,270,2006-05-05,5000,2897,7680,1995,"56,0",
500370,2049615,Krummahólar 8,111,2006-05-09,10800,10475,39600,1976,"72,5",1
500371,2046282,Rauðás 16,110,2006-05-08,16500,15430,58450,1984,"85,1",1
500372,2005310,Hverfisgata 102A,101,2006-05-05,14300,13310,59300,1933,"70,7",1
500379,2121494,Mávakambur 2,415,2006-05-09,6000,25370,67200,1987,"1170,0",
500380,2138937,Norðurbraut 5,545,2006-05-04,12750,8503,44300,1980,"251,0",6
500382,2233626,Hafnarstræti 99-101,600,2006-04-27,17000,6880,21650,1961,"196,7",
500382,2233625,Hafnarstræti 99-101,600,2006-04-27,17000,13350,47150,1961,"196,7",
500383,2148088,Kambagerði 1,600,2006-05-09,10300,7950,36050,1975,"57,9",1
500384,2148923,Lundargata 5,600,2006-05-08,11300,11290,44350,1895,"101,0",3
500385,2284474,Njarðarnes 6,603,2006-05-03,6830,872,35700,    ,"121,6",
500386,2284485,Njarðarnes 6,603,2006-05-09,5900,603,22700,    ,"73,0",
500387,2284477,Njarðarnes 6,603,2006-04-28,5050,598,22550,    ,"72,5",
500388,2282207,Klettaborg 11,600,2006-05-03,41000,30815,132850,2005,"217,1",4
500389,2278912,Akursíða 4,603,2006-04-24,174160,10339,37350,2005,"1088,5",1
500389,2278913,Akursíða 4,603,2006-04-24,174160,12990,45350,2005,"1088,5",2
500389,2278899,Akursíða 2,603,2006-04-24,174160,10463,38650,2005,"1088,5",1
500389,2278902,Akursíða 2,603,2006-04-24,174160,10350,38000,2005,"1088,5",1
500389,2278911,Akursíða 4,603,2006-04-24,174160,10350,37450,2005,"1088,5",1
500389,2278905,Akursíða 4,603,2006-04-24,174160,10350,38000,2005,"1088,5",1
500389,2278914,Akursíða 4,603,2006-04-24,174160,10463,38100,2005,"1088,5",1
500389,2278906,Akursíða 4,603,2006-04-24,174160,10463,38650,2005,"1088,5",1
500389,2278904,Akursíða 4,603,2006-04-24,174160,10350,37950,2005,"1088,5",1
500389,2278910,Akursíða 2,603,2006-04-24,174160,10350,37450,2005,"1088,5",1
500389,2278909,Akursíða 2,603,2006-04-24,174160,10350,38750,2005,"1088,5",1
500389,2278908,Akursíða 2,603,2006-04-24,174160,12990,45350,2005,"1088,5",2
500389,2278900,Akursíða 2,603,2006-04-24,174160,10350,38000,2005,"1088,5",1
500389,2278907,Akursíða 2,603,2006-04-24,174160,10463,38100,2005,"1088,5",1
500389,2278903,Akursíða 4,603,2006-04-24,174160,10350,38000,2005,"1088,5",1
500389,2278901,Akursíða 2,603,2006-04-24,174160,10360,37950,2005,"1088,5",1
500394,2195900,Fossalda 12,850,2006-04-20,10500,6560,32600,1980,"90,7",2
500404,2185922,Erlurimi 6,800,2006-05-08,31800,25040,93300,1993,"204,1",5
500425,2090446,Smáratún 46,230,2006-05-04,17700,12820,62500,1961,"158,1",3
500427,2234044,Flatahraun 29,220,2006-05-05,18500,4710,27050,1985,"130,8",
500427,2234045,Flatahraun 29,220,2006-05-05,18500,4800,27500,1985,"130,8",
500429,2076792,Kaplahraun 9,220,2006-05-08,79500,20180,76600,1989,"496,8",
500429,2076794,Kaplahraun 9,220,2006-05-08,79500,30500,81800,1989,"496,8",
500430,2235938,Þernunes 13,210,2006-05-05,31447,24350,96800,1978,"139,9",2
500433,2080467,Vesturholt 3,220,2006-05-08,18250,14720,55700,1993,"86,0",1
500436,2060625,Sörlaholt                7 ,nan,2006-03-31,1130000,3250,nan,1990,"2622,9",
500436,2060607,Smáraholt                6 ,nan,2006-03-31,1130000,4860,nan,1970,"2622,9",
500436,2060604,Smáraholt                3 ,nan,2006-03-31,1130000,3771,nan,1970,"2622,9",
500436,2060610,Smáraholt                9 ,nan,2006-03-31,1130000,15090,nan,1986,"2622,9",
500436,2239355,Smáraholt                8 ,nan,2006-03-31,1130000,2896,nan,1974,"2622,9",
500436,2230621,Smáraholt                3 ,nan,2006-03-31,1130000,2436,nan,1970,"2622,9",
500436,2060605,Smáraholt                4 ,nan,2006-03-31,1130000,4860,nan,1970,"2622,9",
500436,2060633,Þokkaholt                5 ,nan,2006-03-31,1130000,4121,nan,1990,"2622,9",
500436,2060630,Þokkaholt                4 ,nan,2006-03-31,1130000,4281,nan,1990,"2622,9",
500436,2060602,Smáraholt                1 ,nan,2006-03-31,1130000,4920,nan,1974,"2622,9",
500436,2060593,Granaholt                1 ,nan,2006-03-31,1130000,9120,nan,1973,"2622,9",
500436,2060616,Stjarnaholt              5 ,nan,2006-03-31,1130000,3390,nan,1973,"2622,9",
500436,2060586,Funaholt                 5 ,nan,2006-03-31,1130000,7170,nan,1972,"2622,9",
500436,2060603,Smáraholt                2 ,nan,2006-03-31,1130000,4860,nan,1970,"2622,9",
500436,2060614,Stjarnaholt              3 ,nan,2006-03-31,1130000,3340,nan,1970,"2622,9",
500436,2231072,Stjarnaholt              6 ,nan,2006-03-31,1130000,4950,nan,1997,"2622,9",
500436,2060619,Sörlaholt                2 ,nan,2006-03-31,1130000,2270,nan,1972,"2622,9",
500436,2230619,Granaholt                3 ,nan,2006-03-31,1130000,2010,nan,1973,"2622,9",
500436,2060588,Funaholt                 7 ,nan,2006-03-31,1130000,4890,nan,1973,"2622,9",
500436,2231606,Þokkaholt                2 ,nan,2006-03-31,1130000,3541,nan,1972,"2622,9",
500436,2060600,Granaholt                8 ,nan,2006-03-31,1130000,1890,nan,1991,"2622,9",
500436,2060597,Granaholt                5 ,nan,2006-03-31,1130000,3340,nan,1970,"2622,9",
500436,2060595,Granaholt                3 ,nan,2006-03-31,1130000,4210,nan,1973,"2622,9",
500436,2060618,Sörlaholt                1 ,nan,2006-03-31,1130000,2840,nan,1970,"2622,9",
500437,2169728,Sæbakki 28,740,2006-03-31,10500,9318,34250,1990,"80,0",2
500438,2178374,Hólaland 18,755,2006-05-02,13000,6415,26900,1971,"218,8",5
500439,2177849,Búðavegur 48,750,2006-05-02,6600,3705,19800,1960,"72,1",2
500440,2178476,Bakkagerði 1,755,2006-05-02,11400,6925,26650,1977,"188,0",4
500441,2169760,Urðarteigur 20,740,2006-05-02,15000,13155,45850,1965,"152,7",4
500442,2169169,Hlíðargata 6,740,2006-05-04,16400,13310,46900,1950,"186,8",6
500443,2177299,Austurvegur 23,730,2006-04-12,6650,9050,38400,1916,"194,9",7
500444,2170447,Strandgata 45,735,2006-05-03,31500,20010,60400,1979,"453,6",3
500475,2082806,Ásland 14,270,2006-05-09,51000,34800,141050,1984,"273,7",6
500476,2083451,Furubyggð 24,270,2006-05-09,38500,26760,102500,1990,"164,0",3
500478,2050901,Suðurhólar 14,111,2006-05-09,14900,12595,48300,1980,"74,6",1
500479,2034227,Espigerði 4,108,2006-04-24,18600,11570,55700,1974,"66,9",1
500480,2040550,Garðhús 41,112,2006-05-05,58000,42500,151450,1990,"265,0",5
500481,2048367,Kóngsbakki 7,109,2006-05-05,19500,15380,56150,1970,"96,7",3
500482,2009550,Samtún 22,105,2006-05-10,10900,10560,35450,1941,"46,9",1
500483,2254366,Kristnibraut 1,113,2006-05-08,48700,39390,128350,2001,"240,2",2
500484,2213847,Gullengi 31,112,2006-05-05,16500,16010,59850,1994,"89,5",2
500485,2020745,Sigluvogur 16,104,2006-05-09,28800,23700,91000,1957,"159,1",3
500486,2006439,Skólavörðustígur 27,101,2006-05-09,43900,31310,115500,1930,"165,2",5
500487,2007769,Njarðargata 39,101,2006-05-09,15600,13050,52900,1925,"61,2",1
500488,2016846,Laugarnesvegur 85,105,2006-05-08,11000,11080,46100,1933,"56,2",1
500489,2057096,Kambasel 85,109,2006-05-09,16500,13645,55250,1981,"81,5",1
500492,2005318,Hverfisgata 104A,101,2006-05-09,9000,8460,38200,1926,"40,6",1
500493,2056570,Flúðasel 14,109,2006-05-10,27500,24575,74500,1977,"154,4",4
500495,2109983,Berjaás 22,311,2006-04-21,6000,4265,16050,1988,"30,0",
500496,2113173,Lynghagi,342,2006-05-04,12000,6591,4060,1968,"175,0",
500497,2114253,Háarif 49,360,2006-05-09,10000,9725,32600,1974,"164,9",3
500498,2120409,Stekkjargata 11,410,2006-05-09,10000,23340,51090,1972,"1189,2",
500500,2220113,Skútagil 3,603,2006-05-05,12800,9757,39750,1995,"67,0",1
500501,2145913,Einholt 10D,603,2006-05-02,20500,14335,60450,1974,"108,6",3
500525,2088581,Heiðarbraut 7H,230,2006-05-08,26500,21020,80950,1980,"185,3",5
500527,2290115,Lækjamót 41,245,2006-05-04,16700,8740,50100,2006,"122,6",2
500528,2273113,Akurhvarf 5,203,2006-05-05,25500,22580,74900,2005,"108,6",2
500529,2228068,Lautasmári 8,201,2006-05-04,20700,16900,67050,1997,"93,4",2
500530,2278164,Blómvangur 2,700,2006-05-02,15192,10782,36600,2005,"84,4",2
500532,2173580,Smárahvammur 4,700,2006-05-08,10100,6386,25450,1981,"58,1",1
500535,2017762,Langholtsvegur 2,104,2006-05-09,9700,8995,33250,1953,"44,0",0
500580,2120287,Sindragata 7,400,2006-05-09,69000,71380,147100,1984,"1730,2",
500625,2271119,Furuvellir 16,221,2006-05-10,47000,39840,126700,2005,"208,9",4
500628,2041707,Frostafold 153,112,2006-05-09,17100,16660,64000,1988,"97,4",2
500629,2028894,Grímshagi 7,107,2006-05-09,3500,27410,127350,1978,"342,0",4
500629,2028893,Grímshagi 7,107,2006-05-09,3500,3230,107450,1978,"342,0",4
500676,2079623,Suðurbraut 12,220,2006-05-08,12000,10690,41450,1955,"58,7",1
500677,2058042,Álfhólsvegur 27,200,2006-05-04,13100,9575,45600,1952,"54,7",1
500680,2009721,Hverfisgata 123,105,2006-03-21,16500,16800,59000,1930,"165,7",
500726,2064967,Skjólbraut 11A,200,2006-05-08,22500,17810,73600,1978,"100,1",2
500750,2073886,Breiðvangur 13,220,2006-05-09,21800,18580,66050,1976,"112,2",4
500820,2282524,Fjóluvellir 1,221,2006-05-09,34800,7740,132850,    ,"223,5",4
501467,2068799,Suðurmýri 38,170,2006-05-10,45000,19480,53450,1946,"121,2",1
501468,2068798,Suðurmýri 38,170,2006-05-10,30000,13380,61700,1946,"72,9",1
501492,2068840,Suðurmýri 36,170,2006-05-10,19500,10930,70050,1930,"56,1",2
501493,2068839,Eiðismýri 19,170,2006-05-10,27800,14790,68950,1930,"77,9",2
501494,2068838,Eiðismýri 17,170,2006-05-10,27800,14540,53000,1930,"77,9",1
501497,2145729,Dvergagil 15,603,2006-04-04,36000,25030,94200,1993,"160,1",3
501498,2149022,Melasíða 3,603,2006-04-21,13650,10999,42100,1988,"82,7",2
501519,2006928,Freyjugata 3B,101,2006-05-09,11500,10590,41350,1925,"38,5",1
501520,2017868,Kambsvegur 20,104,2006-05-09,18500,15110,58050,1961,"83,4",2
501521,2009580,Miðtún 15,105,2006-05-09,15300,11830,43250,1941,"62,8",2
501522,2008409,Njálsgata 82,101,2006-05-09,19150,17300,63900,1956,"90,7",2
501526,2140834,Reykjahlíð,560,2006-05-10,3500,4091,29450,1948,"123,8",3
501549,2009619,Bríetartún 8,105,2006-05-10,12300,10005,46400,1945,"53,2",1
501550,2288898,Bríetartún 8,105,2006-05-10,10750,7970,40400,1945,"41,5",1
501574,2089916,Mávabraut 5A,230,2006-05-08,14000,11660,49300,1978,"89,2",2
501577,2040014,Hrísrimi 5,112,2006-05-09,19300,19500,71450,1992,"130,0",2
501578,2021097,Álfheimar 26,104,2006-05-08,17000,13635,57500,1959,"79,5",2
501602,2019078,Hofteigur 19,105,2006-04-12,17800,14880,63100,1947,"86,4",2
501605,2006075,Þórsgata 17,101,2006-05-11,32000,21550,89000,1928,"128,2",3
501908,2214649,Laufrimi 8,112,2006-05-10,21300,16850,63600,1994,"95,7",3
502908,2278044,Þorláksgeisli 1,113,2006-05-08,27900,23700,76250,2005,"114,8",3
502909,2278035,Þorláksgeisli 1,113,2006-05-09,24500,21480,68800,2005,"101,8",2
502910,2278039,Þorláksgeisli 1,113,2006-05-09,27900,23930,74600,2005,"116,7",3
502911,2048111,Leirubakki 12,109,2006-05-08,15300,14595,53650,1971,"94,0",3
502912,2001195,Sólvallagata 64,101,2006-05-10,16750,12675,57600,1972,"67,1",2
502913,2017206,Dalbraut 20,105,2006-05-09,15510,13370,39800,1987,"64,5",1
502915,2127085,Njarðarbraut 14,420,2006-04-01,1800,3002,7390,1980,"101,7",
502916,2147399,Hjallalundur 18,600,2006-05-03,18200,13235,51650,1987,"102,8",3
502917,2150551,Smárahlíð 9,603,2006-05-02,12100,8365,32250,1979,"60,9",1
502918,2151151,Sunnuhlíð 23,603,2006-05-10,14400,10762,38850,1981,"82,2",2
502920,2209949,Borgarheiði 27,810,2006-04-07,16000,11940,51050,1984,"88,2",1
502922,2288161,Ártún 5,250,2006-05-04,9500,7440,46500,2006,"101,0",3
502923,2288162,Ártún 7,250,2006-05-04,8500,7025,43350,2006,"90,3",2
502924,2075452,Hjallabraut 2,220,2006-05-08,17800,18540,64100,1968,"111,4",3
502926,2080826,Ölduslóð 7,220,2006-05-10,26900,16960,68100,1948,"106,2",1
502927,2231662,Galtalind 17,201,2006-05-09,25500,19170,75600,1998,"112,3",3
502928,2289571,Hamragerði 3,700,2006-05-07,16650,11460,41350,2006,"89,9",2
502930,2018858,Sundlaugavegur 12,105,2006-05-11,16300,12890,58400,1947,"72,4",2
502931,2256889,Helgugrund 10,116,2006-05-10,42300,31310,105000,2002,"257,7",6
502932,2119553,Fjarðarstræti 59,400,2006-04-28,10000,7723,39150,1961,"111,5",3
502933,2070714,Hrísmóar 3,210,2006-05-10,28200,21940,80750,1985,"137,1",3
502934,2039714,Klukkurimi 59,112,2006-04-21,17300,15110,59850,1993,"89,0",2
502935,2259915,Gvendargeisli 80,113,2006-05-12,31500,24185,82650,2003,"129,4",3
502936,2036366,Sogavegur 216,108,2006-05-05,17000,12435,46950,1983,"64,2",1
502937,2221548,Starengi 14,112,2006-05-08,19700,15170,59250,1995,"83,2",2
502938,2018117,Skipasund 1,104,2006-05-12,14550,15030,48250,1950,"70,3",1
502939,2000510,Tryggvagata 4-6,101,2006-05-12,9500,6194,35150,1942,"31,4",0
502940,2262865,Þorláksgeisli 11,113,2006-05-12,23900,20220,63600,2003,"97,9",2
502941,2046170,Norðurás 2,110,2006-05-12,16500,14115,54250,1985,"73,4",2
502943,2267539,Naustabryggja 41,110,2006-05-02,15500,16815,60800,2004,"87,3",1
502944,2042150,Frostafold 24,112,2006-05-11,14200,10370,44050,1986,"51,3",1
502945,2273176,Ægisgata 5,101,2006-05-11,23000,14260,63900,2005,"63,6",0
502946,2273177,Ægisgata 5,101,2006-05-11,23000,14375,64500,2005,"64,8",0
502947,2008039,Njálsgata 49,101,2006-05-11,19000,15260,61800,1946,"80,9",1
502948,2040748,Grundarhús 42,112,2006-05-12,28200,24640,93000,1990,"128,9",3
502949,2008875,Barónsstígur 61,101,2006-05-12,17000,14905,61350,1933,"87,7",1
502950,2018019,Skipasund 12,104,2006-05-15,18900,15450,66450,1953,"81,2",1
502951,2041539,Fannafold 72,112,2006-03-14,24700,19820,69000,1988,"112,3",2
502952,2045257,Hraunbær 174,110,2006-05-11,13500,11495,46500,1967,"67,8",1
502953,2262740,Grænlandsleið 18,113,2006-05-11,18850,17050,66250,2005,"83,0",1
502954,2052976,Torfufell 46,111,2006-05-11,15500,14755,53850,1974,"97,7",3
502956,2067891,Miðbraut 18,170,2006-05-11,38000,26235,112300,1964,"175,6",3
502957,2054720,Tungusel 11,109,2006-05-11,19400,18540,65150,1977,"122,1",3
502958,2052555,Iðufell 10,111,2006-05-08,11900,10955,43250,1973,"68,9",1
502959,2225135,Viðarrimi 52,112,2006-05-11,38700,32410,115150,1996,"158,7",4
502960,2033424,Stóragerði 5,108,2006-05-12,19200,15120,56450,1963,"80,8",2
502961,2014993,Háaleitisbraut 47,108,2006-05-13,25200,20580,80400,1964,"137,4",3
502962,2030507,Blönduhlíð 10,105,2006-05-12,18700,16350,65050,1965,"84,2",3
502963,2272259,Gvendargeisli 158,113,2006-05-08,39800,5060,121100,    ,"168,3",3
502964,2278210,Krókavað 12,110,2006-05-12,29900,24040,94400,2005,"127,5",3
502965,2048568,Dúfnahólar 4,111,2006-05-12,14700,10290,42950,1974,"57,7",1
502966,2001148,Öldugata 41,101,2006-05-12,10400,7955,37700,1923,"40,6",1
502967,2006395,Njálsgata 20,101,2006-05-08,16800,14054,55300,1952,"78,0",1
502969,2048024,Leirubakki 20,109,2006-05-12,12000,9930,39000,1970,"55,9",1
502970,2041022,Veghús 1,112,2006-05-12,27700,24900,88000,1989,"166,4",3
502971,2051823,Asparfell 4,111,2006-05-09,50000,23540,98350,1973,"190,1",4
502972,2101090,Vesturgata 133,300,2006-05-12,23500,21950,70850,1953,"192,7",5
502973,2282628,Smáraflöt 3,300,2006-04-19,19350,1060,56750,    ,"105,9",3
502974,2282630,Smáraflöt 3,300,2006-04-19,18579,986,53700,    ,"97,5",2
502975,2282624,Smáraflöt 3,300,2006-04-19,20140,1060,57550,    ,"105,9",3
502976,2282632,Smáraflöt 3,300,2006-04-18,19853,1075,55950,    ,"105,9",3
502977,2101514,Háholt 22,300,2006-05-11,12500,14141,52900,1930,"144,0",5
502978,2102292,Akursbraut 22,300,2006-05-03,12500,11191,41650,1947,"111,2",2
502980,2115949,Lágholt 25,340,2006-05-13,20000,13390,81350,1972,"242,6",5
502982,2121283,Hafnargata 121,415,2006-05-04,10500,6603,42850,1992,"154,1",3
502983,2120447,Stórholt 13,400,2006-05-11,6500,6061,24750,1978,"73,3",2
502984,2119560,Garðavegur 1,410,2006-05-11,8000,7432,40500,1959,"141,6",2
502985,2120092,Móholt 12,400,2006-05-15,19000,12675,69150,1978,"198,0",4
502988,2131564,Freyjugata 50,550,2006-05-12,18600,13090,58750,1953,"181,5",5
502989,2229814,Víkurgil 19,603,2006-05-11,21500,18000,71800,1997,"113,1",4
502990,2238812,Geislagata 7,600,2006-05-05,50000,15355,40450,1944,"519,4",
502990,2147639,Hólabraut 12,600,2006-05-05,50000,42480,106600,1986,"519,4",
502993,2155058,Lynghólar 10,620,2006-05-09,8500,7930,33150,1988,"80,0",2
502994,2280881,Hafnarstræti 81,600,2006-03-22,8400,6749,24000,1947,"43,3",0
502995,2146310,Furulundur 3A,600,2006-05-12,19900,15170,71350,1973,"107,6",3
502996,2144918,Ásvegur 27,600,2006-05-12,26500,17025,74050,1956,"180,4",4
502997,2182849,Brekastígur 3B,900,2006-05-11,10400,9035,29500,1923,"148,3",2
502998,2184908,Túngata 17,900,2006-05-12,13700,11445,70700,1957,"179,4",6
503000,2282824,Birkimörk 8,810,2006-05-12,27900,17780,82850,2006,"154,8",3
503003,2247893,Kjarrbraut 2,805,2006-05-10,16900,9395,111550,1999,"60,0",
503004,2236744,Kjarrbraut 6,805,2006-05-10,17500,9465,107500,1998,"60,0",
503005,2232871,Kjalbraut 8a,805,2006-05-10,14900,8930,50350,1995,"60,0",
503006,2267106,Lyngmói 4,800,2006-05-12,30500,16490,82750,2004,"166,8",3
503008,2210820,Réttarheiði 27,810,2006-05-01,19000,15585,60950,1988,"115,5",2
503009,2205804,Guðjónsgata 11,806,2006-04-28,13600,8100,29200,1990,"56,9",
503011,2087564,Faxabraut 61,230,2006-05-08,34000,22050,78050,1966,"184,6",4
503012,2092988,Borgarvegur 42,260,2006-05-11,24000,18840,65500,1968,"194,0",4
503015,2090752,Suðurgata 43,230,2006-05-12,12500,10470,60850,1943,"111,5",3
503016,2093658,Holtsgata 35,260,2006-05-11,9100,7160,30450,1956,"59,5",2
503017,2074444,Dvergholt 21,220,2006-05-09,20000,20170,60500,1992,"105,6",3
503018,2217227,Álfholt 48,220,2006-05-10,21800,18500,61400,1993,"106,1",4
503019,2281230,Kirkjuvellir 7,221,2006-05-10,22700,10825,72700,2006,"102,7",2
503020,2279371,Akurvellir 2,221,2006-05-10,34500,16470,94900,2006,"178,0",4
503021,2069563,Brekkubyggð 61,210,2006-05-11,16200,12313,49100,1983,"62,0",2
503022,2277908,Kirkjuvellir 3,221,2006-05-10,17000,1755,59800,    ,"85,7",1
503023,2076338,Hvammabraut 12,220,2006-05-12,17800,17040,58700,1983,"104,6",3
503026,2075321,Hellisgata 21,220,2006-05-12,14000,13930,65050,1925,"80,7",3
503027,2264350,Birkiholt 4,225,2006-05-12,25900,19820,70400,2003,"110,6",3
503028,2077994,Miðvangur 41,220,2006-04-28,14400,11275,45350,1971,"67,3",1
503029,2242795,Blikaás 40,221,2006-03-31,12400,36970,125700,2000,"205,5",5
503032,2073909,Breiðvangur 16,220,2006-05-11,12500,11050,43950,1977,"59,1",1
503034,2080828,Ölduslóð 8,220,2006-05-12,16600,14670,61050,1947,"82,6",1
503035,2076199,Hvaleyrarbraut 3,220,2006-04-27,11000,7390,20700,1962,"120,0",
503036,2076613,Kaldakinn 29,220,2006-05-12,14400,12770,48850,1963,"76,9",2
503037,2079813,Suðurgata 79,220,2006-05-12,16300,14660,60100,1949,"84,4",1
503038,2071766,Markarflöt 28,210,2006-05-15,65000,13970,64100,1967,"296,0",1
503038,2071767,Markarflöt 28,210,2006-05-15,65000,29480,125550,1967,"296,0",3
503039,2229411,Melalind 12,201,2006-05-09,17500,17620,70350,1998,"98,9",1
503040,2066367,Þinghólsbraut 73,200,2006-05-09,50000,39070,140700,1986,"294,7",3
503041,2282701,Hörðukór 1,203,2006-05-09,29900,13171,80950,2006,"124,1",3
503042,2235723,Galtalind 9,201,2006-05-09,27000,20520,79050,1999,"119,5",3
503043,2060757,Furugrund 42,200,2006-05-08,13900,11155,47250,1976,"62,1",1
503044,2060193,Engjasmári 5,201,2006-05-08,37100,28640,104600,1993,"139,0",2
503045,2062248,Hlíðarvegur 46,200,2006-05-10,34200,30020,111300,1959,"186,2",5
503046,2275717,Akurhvarf 1,203,2006-05-05,17900,7495,56000,2006,"73,7",1
503047,2268738,Álfkonuhvarf 41,203,2006-05-09,26300,22640,76800,2005,"109,8",3
503048,2063298,Kjarrhólmi 24,200,2006-05-11,18100,15590,63100,1973,"89,5",3
503049,2061891,Hlíðarhjalli 41E,200,2006-05-05,33600,22085,97850,1988,"162,8",3
503050,2270362,Álfkonuhvarf 51,203,2006-04-28,21200,18365,64600,2004,"88,7",2
503052,2278018,Álfkonuhvarf 43,203,2006-05-09,30000,13310,82250,2006,"131,0",3
503053,2061923,Hlíðarhjalli 51,200,2006-05-09,16500,15535,61500,1988,"83,3",2
503055,2279038,Baugakór 19-23,203,2006-05-10,20300,11230,65650,2005,"89,5",2
503056,2060955,Furugrund 75,200,2006-05-10,8543,14200,59350,1979,"76,9",3
503057,2280076,Perlukór 1A,203,2006-05-10,24900,10145,66200,2006,"98,8",2
503059,2278147,Blómvangur 2,700,2006-04-12,13086,9504,33700,2005,"72,7",1
503060,2178344,Heiðmörk 8,755,2006-05-09,7300,4562,17400,1987,"92,2",3
503061,2180709,Hafnarbraut 45,780,2006-05-11,13700,9882,47600,1956,"249,8",3
503061,2180710,Hafnarbraut 45A,780,2006-05-11,13700,5350,31550,1945,"249,8",1
503061,2227917,Hafnarbraut             45 ,nan,2006-05-11,13700,1133,nan,1975,"249,8",
503062,2231455,Bugðuleira 3,780,2006-05-11,8300,8358,42900,1997,"99,7",3
503063,2101627,Sunnubraut 17,300,2006-05-11,13900,10400,50650,1945,"100,4",1
503065,2227689,Garðhús 3,112,2006-05-15,26300,21145,73800,1997,"136,8",3
503066,2051508,Austurberg 8,111,2006-05-15,17000,16355,60050,1975,"106,6",3
503067,2101035,Garðabraut 22,300,2006-05-11,14750,11420,53100,1973,"102,5",3
503068,2192391,Brúnalundur,861,2006-05-15,13100,6753,56100,1983,"188,9",4
503069,2273575,Strikið 12,210,2006-05-08,37800,2400,89100,    ,"120,6",2
503070,2280544,Einivellir 7,221,2006-05-11,16100,10775,57500,2006,"81,6",1
503071,2049940,Orrahólar 7,111,2006-05-15,13800,13230,50550,1979,"72,5",1
503072,2146696,Grenivellir 24,600,2006-05-12,17500,14185,50200,1954,"137,9",3
503073,2286511,Melgerði 13,730,2006-05-11,15320,5271,29050,2005,"81,0",2
503074,2286512,Melgerði 13,730,2006-05-11,12420,4346,24400,2005,"63,8",1
503075,2286516,Melgerði 13,730,2006-05-11,15420,5206,29100,2005,"79,9",2
503078,2286523,Melgerði 13,730,2006-05-11,15390,5262,30150,2005,"81,3",2
503079,2286525,Melgerði 13,730,2006-05-11,15400,5357,30350,2005,"82,4",2
503080,2272263,Gvendargeisli 166,113,2006-05-15,40500,5060,121300,    ,"168,8",3
503081,2048180,Írabakki 18,109,2006-05-15,14000,13805,50650,1970,"78,6",2
503082,2252207,Naustabryggja 2,110,2006-05-05,31000,26920,88000,2000,"139,6",3
503084,2116096,Silfurgata 25,340,2006-05-16,19500,10685,52350,1976,"160,0",5
503085,2150210,Skarðshlíð 6,603,2006-05-15,12300,8465,33550,1968,"74,3",2
503086,2221718,Vættagil 3,603,2006-04-11,24000,19900,78650,1995,"135,3",3
503087,2151196,Tjarnarlundur 4,600,2006-05-16,14900,10850,44550,1974,"98,3",3
503089,2275814,Langamýri 22a,800,2006-05-15,20100,14795,59000,2004,"104,9",2
503090,2273449,Fossvegur 2,800,2006-05-16,14500,12644,43100,2004,"70,4",1
503091,2226893,Arnarheiði 9B,810,2006-05-15,19200,16115,64150,1996,"108,4",3
503092,2257756,Vatnsnesvegur 29,230,2006-05-12,22600,14816,66600,2002,"125,3",2
503093,2090180,Norðurvellir 16,230,2006-05-08,35500,23840,87000,1983,"188,1",4
503094,2095717,Skólabraut 12,250,2006-05-12,19500,13809,57650,1968,"168,6",3
503095,2273550,Strikið 12,210,2006-05-11,37800,2400,88750,    ,"120,7",2
503096,2286527,Melgerði 13,730,2006-05-11,12670,4385,25300,2005,"63,6",1
503097,2286528,Melgerði 13,730,2006-05-11,15490,5399,30500,2005,"82,8",2
503098,2169235,Hólsgata 8,740,2006-05-10,11450,8039,28300,1953,"122,1",4
503099,2253259,Maríubaugur 137,113,2006-05-15,20800,19900,67700,2002,"103,1",2
503100,2026155,Grenimelur 46,107,2006-05-12,45000,39970,129050,1910,"217,1",3
503101,2147621,Hlíðarlundur 2,600,2006-05-15,26000,18380,64400,1990,"191,4",2
503102,2232146,Efsti-Dalur lóð 1c,806,2006-05-12,14700,7990,40700,1996,"51,5",
