FAERSLUNUMER,FASTNUM,HEIMILISFANG,POSTNR,UTGDAG,KAUPVERD,FASTEIGNAMAT,FASTEIGNAMAT_GILDANDI,BYGGAR,EINFLM,FJHERB
606595,2300338,Breiðhóll 26,245,2016-04-12,13500,15200,72450,2007,"180,5",4
606596,2304423,Breiðhóll 3,245,2016-05-02,26800,30650,85100,2007,"213,6",4
606597,2089820,Lyngholt 18,230,2016-04-29,20100,16050,45750,1958,"114,8",3
606598,2247121,Bolafótur 13,260,2016-05-11,14200,9310,27350,2000,"140,2",
606599,2302083,Heiðarholt 6,250,2016-05-09,27500,23300,62850,2007,"158,8",3
606600,2093420,Hjallavegur 3,260,2016-05-09,15500,11900,38750,1970,"81,3",2
606601,2226049,Fífumói 22,260,2016-05-09,32300,24550,76450,1995,"141,3",3
606602,2260732,Iðavellir 11B,230,2016-04-26,22000,18450,48650,2002,"237,5",
606603,2095622,Lyngbraut 10,250,2016-04-26,18500,22050,63200,1977,"186,3",4
606604,2213997,Faxafen 10,108,2016-05-03,18000,30750,65950,1987,"176,4",
606605,2152993,Höfðavegur 5,640,2016-05-12,15000,10250,33050,1919,"108,8",3
606606,2152992,Höfðavegur 5,640,2016-05-12,29000,12400,41850,1919,"213,8",2
606607,2146687,Grenivellir 18,600,2016-05-11,22000,18450,46150,1954,"116,2",3
606608,2169514,Nesbakki 5-7,740,2016-05-12,16800,12500,32550,1976,"132,3",4
606609,2090292,Skólavegur 16,230,2016-05-11,41600,33000,93350,1953,"289,1",5
606610,2090815,Sunnubraut 4,230,2016-05-10,17500,15050,46850,1957,"108,6",2
606611,2277120,Flesjakór 18,203,2016-04-28,62000,53700,134400,2006,"197,4",3
606612,2027180,Grenimelur 23,107,2016-05-03,41000,34600,74600,1945,"88,0",0
606613,2032772,Efstaleiti 12,103,2016-05-03,55000,55050,108300,1985,"157,8",2
606614,2273046,Rauðavað 19,110,2016-04-29,38100,34050,75800,2004,"117,7",3
606615,2060670,Furugrund 16,200,2016-04-27,25000,19850,49950,1977,"67,7",1
606616,2056147,Kleifarsel 17,109,2016-05-02,48500,38350,96100,1981,"177,1",3
606617,2024073,Seilugrandi 3,107,2016-05-04,28300,21350,53950,1985,"54,7",1
606618,2271607,Jörfagrund 6,116,2016-05-04,42000,40450,87550,2005,"191,0",4
606619,2297809,Glitvellir 52,221,2016-05-02,46000,50850,131350,2008,"243,6",4
606620,2296198,Hamragerði 7,700,2016-04-29,19000,18650,47300,2007,"113,7",3
606621,2218728,Baugstjörn 19,800,2016-05-06,40600,35900,99300,1994,"216,4",4
606622,2283712,Nýibær lóð 4,801,2016-05-06,47500,29400,96400,2005,"251,5",3
606623,2321951,Grýluhraun 9,805,2016-05-02,41000,28600,64050,2016,"114,5",
606625,2182977,Brimhólabraut 31,900,2016-05-11,21350,17650,37000,1954,"118,3",2
606626,2183031,Búhamar 13,900,2016-05-11,28000,25750,53800,1979,"129,8",5
606627,2303254,Sifjarbrunnur 10,113,2016-04-28,41000,28250,118300,    ,"944,2",3
606628,2023800,Skeljagrandi 3,107,2016-04-29,31000,29650,69900,1981,"113,7",2
606629,2032763,Efstaleiti 10,103,2016-04-29,56300,54500,107350,1985,"154,3",2
606630,2249182,Jörfagrund 34,116,2016-05-04,23500,20550,42500,2001,"90,8",2
606631,2062846,Huldubraut 58,200,2016-05-02,62500,55800,143100,1990,"225,9",5
606632,2286983,Ásakór 15,203,2016-05-03,43000,43900,98100,2007,"158,3",3
606633,2073698,Brattakinn 7,220,2016-05-03,26100,17950,113250,1950,"72,6",4
606634,2314255,Laxatunga 96,270,2016-05-04,48800,39750,104650,2009,"182,1",3
606635,2232400,Esjugrund 16A,116,2016-04-06,42700,32850,76600,1996,"177,6",4
606636,2074512,Eyrarholt 4,220,2016-05-04,29700,26500,64900,1991,"118,4",0
606637,2352096,Desjamýri 7,270,2016-05-04,6700,703,17150,2015,"43,5",
606638,2067759,Melabraut 11,170,2016-05-03,46000,41450,93150,1960,"134,8",3
606639,2068529,Tjarnarmýri 37,170,2016-05-03,35000,26700,59850,1992,"72,4",2
606640,2252823,Ljósavík 27,112,2016-05-03,39300,34200,80050,2001,"138,5",3
606641,2217744,Vorsabæjarvellir 11,810,2016-05-06,2000,1150,1975,1994,"44,4",
606642,2080253,Traðarberg 23,221,2016-05-03,31000,26700,66650,1989,"102,1",3
606643,2059934,Engihjalli 9,200,2016-05-06,26000,24450,52550,1978,"89,2",2
606644,2058145,Álfhólsvegur 58,200,2016-05-03,67000,74350,175450,1953,"340,1",9
606645,2230168,Vættaborgir 1,112,2016-05-02,36300,27800,66800,1997,"103,6",3
606646,2237152,Vættaborgir 68,112,2016-05-02,59300,46650,119550,1998,"194,1",0
606648,2295581,Þingvað 57,110,2016-05-02,60550,56900,139850,2008,"201,2",4
606649,2320886,Viðjuskógar 18,300,2016-05-12,34900,25100,74400,2016,"114,8",2
606650,2003791,Hólavallagata 3,101,2016-05-05,28000,23550,52600,1934,"62,5",1
606651,2262030,Andrésbrunnur 9,113,2016-04-26,40500,32950,78300,2003,"126,9",4
606652,2283636,Hallakur 4b,210,2016-05-06,42800,38400,82850,2006,"115,9",2
606653,2003814,Garðastræti 44,101,2016-05-04,89000,67850,135800,1941,"234,7",6
606654,2214535,Þorragata 9,102,2016-05-06,62000,46700,101450,1994,"133,7",2
606655,2021003,Álfheimar 2,104,2016-05-04,13000,6120,17850,1961,"32,4",
606656,2081763,Smáratún 13,225,2016-05-02,62000,46800,123950,1990,"229,1",5
606657,2000732,Framnesvegur 8A,101,2016-05-06,63900,40750,98700,1928,"148,3",3
606658,2052835,Möðrufell 15,111,2016-05-06,24900,17500,46150,1974,"79,1",2
606659,2054966,Hagasel 19,109,2016-05-06,38500,34450,94650,1979,"152,2",6
606660,2355685,Bæjarhraun              24 ,nan,2016-05-02,31750,21300,nan,1985,"165,6",
606661,2038112,Seljaland 7,108,2016-05-06,16167,35850,81300,1973,"121,4",3
606662,2070306,Háholt 6,210,2016-04-12,67000,73750,168200,1983,"294,9",5
606663,2242379,Sæviðarsund 45,104,2016-05-06,64000,54700,130950,1999,"187,6",3
606664,2246089,Lóuás 5,221,2016-05-04,63000,57150,139850,2000,"218,3",3
